Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,EAV-030204-G,Inorganic wood preservatives,,
2010,EAV-030205-G,Other wood preservatives with dangerous substances,6.0,0.0
2010,EAV-030299-U,wood preservatives n.e.s.,5.0,0.0
2010,EAV-030301-U,Paper production includes: bark and wood waste,39.0,291.0
2010,EAV-030302-U,Sulphite sludge (from the recovery of cooking liquor),,
2010,EAV-030305-U,Deinking sludge from paper recycling,13.0,1027.7
2010,EAV-030307-U,Mechanically separated waste (paper waste),110.0,792.3
2010,EAV-030308-U,Waste from sorting v. Paper for recycling,349.0,748.5
2010,EAV-030309-U,lime sludge waste,9.0,13.6
2010,EAV-030310-U,"Fiber waste, fiber, filler and coating sludge",135.0,1785.9
2010,EAV-030311-U,sludge a. operational waste water treatment (oh.030310),39.0,164.4
2010,EAV-030399-U,"Paper production, among others: waste not otherwise specified",38.0,798.2
2010,EAV-04,"Waste from the leather, fur and textile industries",,
2010,EAV-040101-U,Flesh scrapings and skin scraps,3.0,0.0
2010,EAV-040102-U,Cremated glued leather,6.0,20.2
2010,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,
2010,EAV-040104-U,Chromium-containing tannery broth,,
2010,EAV-040105-U,Chromium-free tannery broth,,
2010,EAV-040106-U,Slurries containing chromium,11.0,20.3
2010,EAV-040107-U,Chrome-free sludges,,
2010,EAV-040108-U,Chrome waste from tanned leather,38.0,6.2
2010,EAV-040109-U,Waste from preparation and finishing,15.0,0.3
2010,EAV-040199-U,Leather and fur industry: waste n.e.c.,14.0,1.7
2010,EAV-040209-U,"Waste from composite materials (elastomer, etc.)",107.0,41.6
2010,EAV-040210-U,Organic substances from natural materials (e.g. fats),10.0,3.8
2010,EAV-040214-G,Waste from the finish with organ. solvent,7.0,0.0
2010,EAV-040215-U,Waste from the finish (without 040214),11.0,0.6
2010,EAV-040216-G,Dyes and pigments containing dangerous substances,4.0,0.0
2010,EAV-040217-U,Dyes and pigments (without 040216),10.0,0.5
2010,EAV-040219-G,Textile industry: sludge (company wastewater tank),5.0,0.0
2010,EAV-040220-U,sludge from on-site Sewage treatment (oh.040219),25.0,2.2
2010,EAV-040221-U,Waste from untreated textile fibers,63.0,13.1
2010,EAV-040222-U,Waste from processed textile fibres,298.0,42.9
2010,EAV-040299-U,Textile industry: waste n.e.c.,26.0,2.2
2010,EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,EAV-050102-G,Petroleum refining: desalination sludges,,
2010,EAV-050103-G,Petroleum refining: bottom sludge from tanks,56.0,13.5
2010,EAV-050104-G,Petroleum refining: Acid alkyl sludges,,
2010,EAV-050105-G,Petroleum Refining: Oil Spills,,
2010,EAV-050106-G,Petroleum refining: oil holding.sludges a.operation process.,41.0,13.3
2010,EAV-050107-G,Petroleum refining: acid tars,,
2010,EAV-050108-G,Petroleum refining: Other teas,6.0,0.2
2010,EAV-050109-G,Petroleum refining: sludge (company wastewater tank),11.0,4.7
2010,EAV-050110-U,Sludge a. operationally appropriate Waste water tank (oh.050109),5.0,4.4
2010,EAV-050111-G,Petroleum refinery: Removal from pure fuel. with bases,,
2010,EAV-050112-G,Petroleum refining: Acidic oils,,
2010,EAV-050113-U,Petroleum refining: sludges from boiler feed water treatment.,,
2010,EAV-050114-U,Petroleum refining: waste from cooling columns,,
2010,EAV-050115-G,Petroleum Refining: Used filter clays,17.0,0.6
2010,EAV-050116-U,Petroleum refining: sulfur h. Waste from oil desulfurization,8.0,0.3
2010,EAV-050117-U,Petroleum refining: bitumen,,
2010,EAV-050199-U,Petroleum refining: wastes n.e.c.,,
2010,EAV-050601-G,Coal pyrolysis: acid tars,,
2010,EAV-050603-G,Kohlepyrolyse: Andere Teere,37.0,7.3
2010,EAV-050604-U,Coal pyrolysis: waste from cooling columns,,
2010,EAV-050699-U,Coal pyrolysis: wastes n.e.c.,3.0,0.0
2010,EAV-050701-G,"Natural gas cleaning, transport: mercury h. waste",,
2010,EAV-050702-U,"Natural gas cleaning, transport:Sulphurous waste",9.0,0.6
2010,EAV-050799-U,"Natural gas purification, transport: waste n.e.c.",,
2010,EAV-06,Waste from inorganic chemical processes,,
2010,EAV-060101-G,sulfuric acid and sulphurous acid,194.0,113.5
2010,EAV-060102-G,hydrochloric acid,51.0,13.5
2010,EAV-060103-G,Hydrofluoric acid,9.0,0.2
2010,EAV-060104-G,Phosphoric acid and phosphorous acid,30.0,0.5
2010,EAV-060105-G,Nitric acid and nitrous acid,35.0,1.5
2010,EAV-060106-G,Other acids,588.0,10.1
2010,EAV-060199-U,Acids: wastes n.e.c.,17.0,0.1
2010,EAV-060201-G,Calciumhydroxid,13.0,0.6
2010,EAV-060203-G,Ammoniumhydroxid,33.0,6.7
2010,EAV-060204-G,Sodium and potassium hydroxide,65.0,9.1
2010,EAV-060205-G,Other Bases,505.0,13.3
2010,EAV-060299-U,Bases: wastes n.e.c.,16.0,2.3
2010,EAV-060311-G,Solid salts and solutions containing cyanide,21.0,0.7
2010,EAV-060313-G,Solid salts and solutions containing heavy metals,115.0,6.4
2010,EAV-060314-U,Solid salts and solutions (without 060311 and 060313),233.0,157.0
2010,EAV-060315-G,Metal oxides containing heavy metals,21.0,7.2
2010,EAV-060316-U,Metal oxides (without 060315),49.0,37.5
2010,EAV-060399-U,"Salts, salt solutions, metal oxides: wastes n.e.c.",7.0,0.2
2010,EAV-060403-G,Waste containing arsenic,11.0,0.6
2010,EAV-060404-G,Waste containing mercury,579.0,4.9
2010,EAV-060405-G,Waste containing other heavy metals,76.0,43.0
2010,EAV-060499-U,Waste containing metal n.e.c.,5.0,0.1
2010,EAV-060502-G,Sludge from on-site wastewater treatment,69.0,48.6
2010,EAV-060503-U,Sludge from company-owned Waste water tank (oh.060502),135.0,103.2
2010,EAV-060602-G,Waste containing dangerous sulfides,6.0,0.2
2010,EAV-060603-U,Waste containing sulfide (without 060602),4.0,0.5
2010,EAV-060699-U,Sulphur-containing chemicals: wastes n.e.s.,,
2010,EAV-060701-G,Asbestos-containing waste from electrolysis,,
2010,EAV-060702-G,Activated carbon from chlorine production,3.0,0.1
2010,EAV-060703-G,Barium sulfate sludge containing mercury,,
2010,EAV-060704-G,"Solutions and acids, e.g. contact acid",3.0,0.6
2010,EAV-060799-U,Halogens: wastes not otherwise specified,5.0,0.1
2010,EAV-060802-G,Hazardous waste containing chlorosilanes,3.0,2.3
2010,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",19.0,18.2
2010,EAV-060902-U,Phosphorous slag,,
2010,EAV-060903-G,Calcium-based reaction wastes,,
2010,EAV-060904-U,Calcium-based reaction waste (without 060903),,
2010,EAV-060999-U,Chemicals containing phosphorus: wastes not otherwise specified,,
2010,EAV-061002-G,Nitrogen.Chemistry.: Waste with hazardous fabrics,6.0,0.4
2010,EAV-061099-U,Nitrogen-containing chemicals: wastes n.e.c.,,
2010,EAV-061101-U,Calcium-based reaction wastes a. titanium dioxide,,
2010,EAV-061199-U,"Inorganic pigments, colourants: waste not otherwise specified",4.0,1.5
2010,EAV-061301-G,"Inorganic pesticides, wood preservatives",12.0,0.1
2010,EAV-061302-G,Used activated carbon (without 060702),133.0,2.0
2010,EAV-061303-U,carbon black,36.0,3.8
2010,EAV-061304-G,Waste from asbestos processing,4.0,0.0
2010,EAV-061305-G,Oven and chimney soot,,
2010,EAV-061399-U,Inorganic chemical processes: wastes not otherwise specified,,
2010,EAV-07,Waste from organic chemical processes,,
2010,EAV-070101-G,"Organic basic chemistry: aqueous washing liquid, mother liquors",179.0,34.4
2010,EAV-070103-G,"Organic basic chemicals: halogen organic solvents, washing bottle",280.0,48.8
2010,EAV-070104-G,"Org.Basic chemistry: solvents, washing liquids",1003.0,145.0
2010,EAV-070107-G,"Org.basic chemistry: halogen reaction, distillation residue.",43.0,56.6
2010,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,139.0,101.9
2010,EAV-070109-G,"Org.Basic chemistry: Halog.filter cake, absorbent mat.",19.0,0.5
2010,EAV-070110-G,"Org.Grundchemik.: And. Filter cake, absorbent mat.",42.0,4.1
2010,EAV-070111-G,Org. basic chemistry: sludge (company waste water tank),40.0,8.7
2010,EAV-070112-U,Sludge from company-owned Waste water tank (oh.070111),15.0,4.1
2010,EAV-070199-U,Bulk organic chemicals: wastes not otherwise specified,27.0,3.9
2010,EAV-070201-G,"Plastics: Aqueous washes, mother liquors",63.0,128.6
2010,EAV-070203-G,"Plastics: halogen organic solvents, washing liquid.",50.0,3.0
2010,EAV-070204-G,"Plastics: organic. Solvents, washing liquids",168.0,36.2
2010,EAV-070207-G,"Plastics: Halog. Reaction, distillation residues",43.0,6.3
2010,EAV-070208-G,Plastics: reaction and distillation residues,791.0,131.0
2010,EAV-070209-G,"Plastics: Halog. Filter cake, absorbent mat.",10.0,0.2
2010,EAV-070210-G,"Plastics: And. Filter cake, absorbent materials",44.0,4.8
2010,EAV-070211-G,Plastics: sludge (company wastewater tank),20.0,1.3
2010,EAV-070212-U,Sludge from company-owned Sewage treatment (oh.070211),41.0,21.8
2010,EAV-070213-U,Plastic waste,1299.0,327.9
2010,EAV-070214-G,Plastics: waste from additives with hazardous substances.,62.0,2.8
2010,EAV-070215-U,Waste additives (excluding 070214),33.0,2.4
2010,EAV-070216-G,Plastics: Dangerous. Waste containing silicones,7.0,0.7
2010,EAV-070217-U,Waste containing silicon (without 070216),18.0,0.6
2010,EAV-070299-U,"Plastics, fibers, synthetic rubber: waste not otherwise specified",239.0,164.7
2010,EAV-070301-G,"Organic dyes: aqueous wash liquor, mother liquors",33.0,3.0
2010,EAV-070303-G,"Organic dyes: Halogenorg. Solvents, detergents",31.0,0.2
2010,EAV-070304-G,"Organic dyes: solvents, washing liquids",418.0,47.7
2010,EAV-070307-G,Organic dyes: halogen. Reaction and distillation reset.,8.0,1.1
2010,EAV-070308-G,Organic dyes: reaction and distillation residues,22.0,4.0
2010,EAV-070309-G,"Organic dyes: Halog. Filter cake, absorbent mat.",4.0,0.2
2010,EAV-070310-G,"Organic dyes: Other filter cakes, absorbent mat.",11.0,1.2
2010,EAV-070311-G,Org. dyes: sludge (in-house waste water tank),3.0,0.2
2010,EAV-070312-U,sludge from on-site Sewage treatment (oh.070311),12.0,1.8
2010,EAV-070399-U,"Organic dyes, pigments: wastes not otherwise specified",,
2010,EAV-070401-G,"Plant protection products: Aqueous wash liquor, mother liquor.",14.0,17.5
2010,EAV-070403-G,"Plant protection with: halogen organic solvents, washing fl.",10.0,52.1
2010,EAV-070404-G,"Pesticides: Organ. solvent, washbottle",19.0,30.7
2010,EAV-070407-G,Plant protection with: halogen reaction and distillation residue,8.0,21.7
2010,EAV-070408-G,"Pesticides: reaction, distillation residue",7.0,5.1
2010,EAV-070409-G,"Pesticides: halogen filter cake, absorbent mat",5.0,0.2
2010,EAV-070410-G,"Pesticides: filter cake, absorbent mat.",8.0,0.5
2010,EAV-070411-G,Plant protection agent: sludge (own waste water treatment),3.0,0.2
2010,EAV-070412-U,Sludge from company-owned Sewage treatment (oh.070411),,
2010,EAV-070413-G,Pesticides: solid waste with dangerous goods,7.0,0.9
2010,EAV-070499-U,"Pesticides, etc.: Waste not otherwise specified",,
2010,EAV-070501-G,"Pharmaceuticals: Aqueous detergents, mother liquors",44.0,62.7
2010,EAV-070503-G,"Pharmaceuticals: halogen organic solvents, wash fl.",59.0,34.6
2010,EAV-070504-G,"Pharmaceuticals: organ. solvent, washing liquid",91.0,76.2
2010,EAV-070507-G,"Pharmaceuticals: halogen reaction, distillation residue.",11.0,2.4
2010,EAV-070508-G,Pharmaceuticals: reaction and distillation residues,42.0,4.2
2010,EAV-070509-G,"Pharmaceuticals: Halogen filter cake, absorbent mat.",6.0,0.4
2010,EAV-070510-G,"Pharmaceuticals: filter cakes, absorbent materials",21.0,1.6
2010,EAV-070511-G,Pharmaceuticals: sludge (in-house waste water treatment),5.0,0.2
2010,EAV-070512-U,sludge from on-site Sewage treatment (oh.070511),11.0,3.6
2010,EAV-070513-G,Pharmaceuticals: Solid waste with hazardous fabrics,30.0,1.3
2010,EAV-070514-U,Solid waste (excluding 070513),41.0,16.1
2010,EAV-070599-U,Pharmaceuticals: wastes not otherwise specified,74.0,14.9
2010,EAV-070601-G,"Greases, soaps: aqueous detergents, mother liquors",133.0,42.5
2010,EAV-070603-G,"Fats, soaps: halogen organic solvents, washing fl.",51.0,0.3
2010,EAV-070604-G,"Fats, soaps: organ. Solvents, washing liquids.",199.0,9.9
2010,EAV-070607-G,"Fats, soaps: halogen reaction and distillation residue.",3.0,0.4
2010,EAV-070608-G,"Fats, soaps: reaction, distillation residues",380.0,34.2
2010,EAV-070609-G,"Fats, soaps: halogen filter cake, absorbent mat.",4.0,0.3
2010,EAV-070610-G,"Fats, soaps: filter cakes, absorbent materials",25.0,2.8
2010,EAV-070611-G,"Fats, soaps: sludge (in-house waste water treatment)",6.0,0.2
2010,EAV-070612-U,sludge from on-site Waste water tank (oh.070611),28.0,9.2
2010,EAV-070699-U,"Fats, soaps, lubricants, etc.: waste not otherwise specified",142.0,28.4
2010,EAV-070701-G,"Fine chemicals: Aqueous detergents, mother liquors",191.0,64.2
2010,EAV-070703-G,"Fine chemicals: halogen organic solvents, washing fl.",177.0,17.5
2010,EAV-070704-G,"Fine chemicals: organ. Solvents, washing liquids.",610.0,55.4
2010,EAV-070707-G,"Fine chemicals: halogen reaction, distillation residue.",34.0,8.0
2010,EAV-070708-G,Fine chemicals: reaction and distillation residues.,69.0,98.4
2010,EAV-070709-G,"Fine chemicals: halogen filter cake, absorption mat.",15.0,0.9
2010,EAV-070710-G,"Fine chemicals: filter cakes, absorbent materials",42.0,2.5
2010,EAV-070711-G,Fine chemicals: sludge (own waste water treatment),14.0,1.2
2010,EAV-070712-U,Sludge from company-owned Waste water tank (oh.070711),7.0,1.1
2010,EAV-070799-U,Fine chemicals: wastes not otherwise specified,14.0,0.8
2010,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",,
2010,EAV-080111-G,Paint and varnish waste with hazardous substances,3927.0,42.7
2010,EAV-080112-U,Paint and varnish waste (without 080111),851.0,16.9
2010,EAV-080113-G,Paint and varnish sludge with dangerous substances,688.0,22.3
2010,EAV-080114-U,Paint and varnish sludge (without 080113),54.0,9.8
2010,EAV-080115-G,"Paints, varnishes: Aqueous sludges with dangerous St.",198.0,13.6
2010,EAV-080116-U,Aqueous sludge (without 080115),558.0,42.8
2010,EAV-080117-G,Waste from paint or varnish removal,358.0,17.7
2010,EAV-080118-U,Waste from paint or varnish removal (without 080117),170.0,8.5
2010,EAV-080119-G,Aqueous suspensions containing paints or varnishes,41.0,8.2
2010,EAV-080120-U,Aqueous suspensions (without 080119),122.0,5.1
2010,EAV-080121-G,Paint or varnish remover waste,38.0,0.2
2010,EAV-080199-U,"Paints, varnishes: waste not otherwise specified",20.0,0.3
2010,EAV-080201-U,Waste coating powder,112.0,2.6
2010,EAV-080202-U,Aqueous sludge containing ceramic materials,31.0,2.7
2010,EAV-080203-U,"Aqueous suspensions, ceramic. materials containing",6.0,3.6
2010,EAV-080299-U,Other coatings: wastes not otherwise specified,,
2010,EAV-080307-U,Aqueous sludges containing printing inks,18.0,0.3
2010,EAV-080308-U,"Aqueous liquid wastes, d. Inks included",59.0,6.6
2010,EAV-080312-G,Waste printing ink containing hazardous substances,340.0,11.3
2010,EAV-080313-U,Waste printing ink (without 080312),106.0,2.5
2010,EAV-080314-G,Printing ink sludge with dangerous substances,120.0,4.0
2010,EAV-080315-U,Printing ink sludge (without 080314),12.0,0.4
2010,EAV-080316-G,Waste from etching solutions,,
2010,EAV-080317-G,Waste toner containing hazardous substances,34.0,0.0
2010,EAV-080318-U,Toner waste (without 080317),288.0,0.7
2010,EAV-080319-G,Dispersion beer,,
2010,EAV-080399-U,Printing inks: waste n.e.c.,10.0,0.3
2010,EAV-080409-G,Adhesive and sealant waste with hazardous St.,1111.0,16.6
2010,EAV-080410-U,Adhesive and sealant waste (excluding 080409),248.0,13.1
2010,EAV-080411-G,Adhesive and sealant containing slurries,24.0,0.5
2010,EAV-080412-U,Adhesive and sealant retention. Sludge(oh.080411),12.0,0.3
2010,EAV-080413-G,"Adhesives, sealants: Aqueous sludges with dangerous substances.",25.0,0.4
2010,EAV-080414-U,Aqueous sludge (without 080413),57.0,4.3
2010,EAV-080415-G,"Adhesive, sealant: Aqueous liquid waste with hazardous st",15.0,0.5
2010,EAV-080416-U,Aqueous liquid waste (excluding 080415),37.0,15.2
2010,EAV-080417-G,"Adhesives, sealants: resin oils",,
2010,EAV-080499-U,"Adhesives, sealants: waste not otherwise specified",14.0,0.8
2010,EAV-080501-G,isocyanate waste,54.0,0.3
2010,EAV-09,Waste from the photographic industry,,
2010,EAV-090101-G,Water-based developers and activator solutions,671.0,6.5
2010,EAV-090102-G,Offset Printing Plate Developer Solutions,366.0,10.3
2010,EAV-090103-G,Solvent-based developer solutions,24.0,0.1
2010,EAV-090104-G,fixing baths,581.0,2.5
2010,EAV-090105-G,Bleaching solutions and bleach-fix baths,11.0,0.1
2010,EAV-090106-G,Waste containing silver from containers photographer. waste,4.0,0.0
2010,EAV-090107-U,Films and photographic papers with silver,268.0,1.6
2010,EAV-090108-U,Films and photographic papers without silver,138.0,1.5
2010,EAV-090110-U,Disposable cameras without batteries,,
2010,EAV-090111-G,Disposable cameras with batteries (160601-160603),,
2010,EAV-090112-U,Disposable cameras with batteries (without 090111),,
2010,EAV-090113-G,Waste from silver recovery (excluding 090106),,
2010,EAV-090199-U,Photographic industry: waste n.e.c.,16.0,0.1
2010,EAV-10,Waste from thermal processes,,
2010,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",416.0,4610.5
2010,EAV-100102-U,Filter dust from coal firing,51.0,1093.5
2010,EAV-100103-U,Filter dust from peat firing and combustion,31.0,54.9
2010,EAV-100104-G,Filter dust and boiler dust from oil firing,15.0,3.2
2010,EAV-100105-U,Calcium-based reaction wastes in solid form,40.0,391.2
2010,EAV-100107-U,Calcium-based reaction wastes (sludges),5.0,3.1
2010,EAV-100109-G,sulfuric acid,3.0,0.0
2010,EAV-100113-G,Filter dust from emulsified hydrocarbons,,
2010,EAV-100114-G,"Rust and boiler ash, slag, boiler dust",11.0,28.9
2010,EAV-100115-U,"rust and Boiler ash, slag, boiler stone (oh.100114)",30.0,332.8
2010,EAV-100116-G,Fly ash from waste co-incineration,11.0,19.7
2010,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),26.0,863.2
2010,EAV-100118-G,Waste from exhaust gas treatment with hazardous St.,22.0,7.5
2010,EAV-100119-U,"Waste a. Exhaust gas treatment (without 100105,100107,100118)",18.0,13.6
2010,EAV-100120-G,"Power plants, among others: sludge (company wastewater tank)",6.0,1.4
2010,EAV-100121-U,sludge a. operational waste water treatment (oh.100120),10.0,4.6
2010,EAV-100122-G,"Power plants, etc.: Aqueous sludge a. Boiler cleaning.",,
2010,EAV-100123-U,Aqueous sludge from boiler cleaning (oh.100122),8.0,0.5
2010,EAV-100124-U,"Power plants, among others: sands from fluidized bed combustion",,
2010,EAV-100125-U,Waste from storage and preparation of fuel.,3.0,4.8
2010,EAV-100126-U,Waste from cooling water treatment,,
2010,EAV-100199-U,Power plants and other incinerators: waste not otherwise specified,4.0,0.0
2010,EAV-100201-U,Iron and steel industry: waste from slag processing,14.0,514.7
2010,EAV-100202-U,Iron and steel ind.: Unprocessed slag,73.0,1851.9
2010,EAV-100207-G,Iron and steel industry: Solid waste from exhaust gas treatment.,56.0,345.1
2010,EAV-100208-U,Waste from exhaust gas treatment (excluding 100207),33.0,425.3
2010,EAV-100210-U,"Iron, steel ind.: mill scale",81.0,483.8
2010,EAV-100211-G,"Iron, steel ind.: oil hold. Drain from cooling water tank.",8.0,3.2
2010,EAV-100212-U,Waste from cooling water treatment (without 100211),,
2010,EAV-100213-G,"Iron and steel industry: sludges, filters. from exhaust gas tank",8.0,63.3
2010,EAV-100214-U,muds and. Filter cake from flue gas tank. (oh.100213),6.0,159.8
2010,EAV-100215-U,Iron and steel ind.: Other sludges and filter cakes,17.0,593.1
2010,EAV-100299-U,Iron and steel industry: waste n.e.c.,23.0,66.0
2010,EAV-100302-U,Aluminum metallurgy: anode scrap,5.0,0.6
2010,EAV-100304-G,Aluminum metallurgy: slags from initial melting,,
2010,EAV-100305-U,Aluminum metallurgy: alumina waste,12.0,11.3
2010,EAV-100308-G,Aluminum metallurgy:Salt slags a.Zweitschmel.,7.0,194.3
2010,EAV-100309-G,Aluminum metallurgy: Black dross a.Zweitsch.,3.0,1.5
2010,EAV-100315-G,Aluminum Metallurgy: Scum (Flammable),35.0,17.9
2010,EAV-100316-U,Scum (without 100315),38.0,58.5
2010,EAV-100317-G,Aluminum Metallurgy:Tarh. Abf. from anode manufacturer.,,
2010,EAV-100318-U,Waste from anode production (excluding 100317),,
2010,EAV-100319-G,Aluminum metallurgy: filter dust with dangerous substances,10.0,3.8
2010,EAV-100320-U,Filter dust (without 100319),3.0,0.0
2010,EAV-100321-G,Aluminum Metallurgy: Other Particles and Dust,7.0,1.2
2010,EAV-100322-U,Other particles and dust (without 100321),8.0,3.3
2010,EAV-100323-G,Aluminum metallurgy: Solid waste a. Exhaust gas treatment,19.0,10.6
2010,EAV-100324-U,Solid waste from flue gas treatment (excluding 100323),,
2010,EAV-100325-G,"Aluminum metallurgy: sludge, filter k.a.",5.0,0.2
2010,EAV-100326-U,sludges and. Filter cake from flue gas tank. (oh.100325),,
2010,EAV-100327-G,Aluminum Metallurgy: Oil H.Abf. from cooling water tank.,,
2010,EAV-100328-U,Waste from cooling water treatment (without 100327),,
2010,EAV-100329-G,Aluminum Metallurgy: Abf.a. tank v.salt slag,,
2010,EAV-100330-U,Waste from treatment of salt slags (oh.100329),,
2010,EAV-100399-U,Aluminum metallurgy: wastes not otherwise specified,11.0,1.1
2010,EAV-100401-G,Lead metallurgy: slags (primary and secondary smelting),3.0,66.9
2010,EAV-100402-G,"Lead metal: dross, scum (first, second scum)",57.0,4.5
2010,EAV-100403-G,Bleimetallurgie: Calciumarsenat,,
2010,EAV-100404-G,Lead metallurgy: filter dust,3.0,0.9
2010,EAV-100405-G,Lead Metallurgy: Other Particles and Dust,10.0,1.1
2010,EAV-100406-G,Lead metallurgy: Solid waste from exhaust gas treatment,3.0,0.4
