Year,Sector Code,Economic Sector,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-17,Construction and demolition waste,46.0,822.4
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-18,Waste from medical care,,
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-19,Waste from waste treatment plants e.g.,19.0,186.3
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-20,Municipal waste (household waste and similar waste),63.0,57.8
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-99,Hazardous waste,,
2010,WZ08-05-02,Mining And Quarrying Of Stone And Earth,,In total,64.0,1569.7
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-01,Waste from the extraction of mineral resources,,
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-02,"Waste from agriculture, forestry, etc.",1031.0,5536.7
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-03,"Waste from woodworking, etc.",13.0,0.4
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-04,"Waste from the leather, fur and textile industries",3.0,0.5
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-05,"Waste from petroleum refining, natural gas purification",15.0,0.0
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-06,Waste from inorganic chemical processes,74.0,4.8
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-07,Waste from organic chemical processes,121.0,17.2
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",134.0,0.1
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-09,Waste from the photographic industry,5.0,0.0
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-10,Waste from thermal processes,46.0,42.7
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-11,Waste from chemical surface treatment,13.0,0.0
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-12,Waste from mechanical shaping processes,91.0,2.4
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-13,Oil waste and liquid fuel waste,519.0,6.9
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-14,"Waste from organic solvents, coolants",141.0,0.2
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-15,"Packaging waste, absorbents, wipes",1240.0,527.8
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-16,Waste not included elsewhere in the inventory,426.0,11.4
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-17,construction and demolition waste,601.0,128.2
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-18,Waste from medical care,7.0,0.7
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-19,Waste from waste treatment plants e.g.,224.0,251.0
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-20,Municipal waste (household waste and similar waste),1379.0,432.0
2010,WZ08-10-01,Food Industry And Tobacco Processing,EAV-99,Hazardous waste,,
2010,WZ08-10-01,Food Industry And Tobacco Processing,,In total,1439.0,6963.2
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-01,Waste from the extraction of mineral resources,,
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-02,"Waste from agriculture, forestry, etc.",13.0,0.1
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-03,"Waste from wood processing, etc.",5.0,0.1
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-04,"Waste from the leather, fur and textile industries",332.0,103.9
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-06,Waste from inorganic chemical processes,22.0,0.1
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-07,Waste from organic chemical processes,92.0,10.1
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",113.0,2.8
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-09,Waste from the photographic industry,3.0,0.0
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-10,Waste from thermal processes,11.0,2.5
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-11,Waste from chemical surface treatment,7.0,0.0
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-12,Waste from mechanical shaping processes,47.0,0.6
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-13,Oil waste and liquid fuel waste,155.0,1.2
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-14,"Waste from organic solvents, coolants",42.0,0.1
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-15,"Packaging waste, absorbent masses, wipes",559.0,53.0
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-16,Waste not included elsewhere in the inventory,119.0,0.7
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-17,construction and demolition waste,205.0,8.4
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-18,Waste from medical supplies,,
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-19,Waste from waste treatment plants e.g.,54.0,13.1
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-20,Municipal waste (household waste and similar waste),626.0,36.0
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-99,Hazardous waste,,
2010,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",,In total,645.0,232.8
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-01,Waste from the extraction of mineral resources,,
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-02,"Waste from agriculture, forestry, etc.",9.0,0.2
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-03,"Waste from woodworking, etc.",242.0,3272.2
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-04,"Waste from the leather, fur and textile industries",,
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-06,Waste from inorganic chemical processes,14.0,0.1
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-07,Waste from organic chemical processes,34.0,1.0
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",126.0,5.4
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-09,Waste from the photographic industry,,
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-10,Waste from thermal processes,149.0,178.8
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-11,Waste from chemical surface treatment,6.0,0.0
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-12,Waste from mechanical shaping processes,61.0,3.6
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-13,waste oil and liquid fuel waste,122.0,1.8
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-14,"Waste from organic solvents, coolants",27.0,1.1
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-15,"Packaging waste, absorbents, wipes",312.0,43.6
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-16,Waste not included elsewhere in the inventory,82.0,1.1
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-17,Construction and demolition waste,181.0,35.8
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-18,Waste from medical care,,
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-19,Waste from waste treatment plants e.g.,36.0,47.9
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-20,Municipal waste (household waste and similar waste),385.0,42.7
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-99,Hazardous waste,,
2010,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",,In total,401.0,3635.4
2010,WZ08-17-03,Paper And Printing Trades,EAV-01,Waste from the extraction of mineral resources,,
2010,WZ08-17-03,Paper And Printing Trades,EAV-02,"Waste from agriculture, forestry, etc.",66.0,2.0
2010,WZ08-17-03,Paper And Printing Trades,EAV-03,"Waste from wood processing, etc.",492.0,5629.6
2010,WZ08-17-03,Paper And Printing Trades,EAV-04,"Waste from the leather, fur and textile industries",13.0,16.4
2010,WZ08-17-03,Paper And Printing Trades,EAV-05,"Waste from petroleum refining, natural gas purification",,
2010,WZ08-17-03,Paper And Printing Trades,EAV-06,Waste from inorganic chemical processes,69.0,4.9
2010,WZ08-17-03,Paper And Printing Trades,EAV-07,Waste from organic chemical processes,263.0,36.0
2010,WZ08-17-03,Paper And Printing Trades,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",794.0,49.1
2010,WZ08-17-03,Paper And Printing Trades,EAV-09,Waste from the photographic industry,439.0,17.7
2010,WZ08-17-03,Paper And Printing Trades,EAV-10,Waste from thermal processes,39.0,450.7
2010,WZ08-17-03,Paper And Printing Trades,EAV-11,Waste from chemical surface treatment,69.0,2.2
2010,WZ08-17-03,Paper And Printing Trades,EAV-12,Waste from mechanical shaping processes,152.0,12.0
2010,WZ08-17-03,Paper And Printing Trades,EAV-13,waste oil and liquid fuel waste,504.0,20.9
2010,WZ08-17-03,Paper And Printing Trades,EAV-14,"Waste from organic solvents, coolants",337.0,4.8
2010,WZ08-17-03,Paper And Printing Trades,EAV-15,"Packaging waste, absorbents, wipes",1069.0,559.8
2010,WZ08-17-03,Paper And Printing Trades,EAV-16,Waste not included elsewhere in the inventory,358.0,12.0
2010,WZ08-17-03,Paper And Printing Trades,EAV-17,construction and demolition waste,491.0,77.6
2010,WZ08-17-03,Paper And Printing Trades,EAV-18,Waste from medical care,3.0,0.0
2010,WZ08-17-03,Paper And Printing Trades,EAV-19,Waste from waste treatment plants e.g.,174.0,216.3
2010,WZ08-17-03,Paper And Printing Trades,EAV-20,Municipal waste (household waste and similar waste),1245.0,885.8
2010,WZ08-17-03,Paper And Printing Trades,EAV-99,Hazardous waste,,
2010,WZ08-17-03,Paper And Printing Trades,,In total,1267.0,7998.0
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-01,waste from the extraction of mineral resources,,
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-02,"Waste from agriculture, forestry, etc.",7.0,0.3
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-03,"Waste from woodworking, etc.",,
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-04,"Waste from the leather, fur and textile industries",,
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-05,"Waste from petroleum refining, natural gas purification",25.0,28.9
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-06,Waste from inorganic chemical processes,18.0,32.4
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-07,Waste from organic chemical processes,28.0,8.0
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",12.0,0.0
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-09,Waste from the photographic industry,,
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-10,Waste from thermal processes,9.0,31.5
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-11,Waste from chemical surface treatment,5.0,0.1
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-12,Waste from mechanical shaping processes,24.0,4.8
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-13,Oil waste and liquid fuel waste,35.0,20.2
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-14,"Waste from organic solvents, coolants",16.0,1.4
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-15,"Packaging waste, absorbents, wipes",48.0,5.6
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-16,Waste not included elsewhere in the inventory,39.0,19.2
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-17,construction and demolition waste,34.0,79.6
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-18,Waste from medical care,4.0,0.0
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-19,"Waste from waste treatment plants, etc.",17.0,22.1
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-20,Municipal waste (household waste and similar waste),47.0,8.8
2010,WZ08-19,Coking Plant And Petroleum Processing,EAV-99,Hazardous waste,,
2010,WZ08-19,Coking Plant And Petroleum Processing,,In total,48.0,263.0
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-01,waste from the extraction of mineral resources,23.0,1399.1
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-02,"Waste from agriculture, forestry, etc.",256.0,288.5
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-03,"Waste from wood processing, etc.",74.0,35.2
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-04,"Waste from the leather, fur and textile industries",36.0,12.1
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-05,"Waste from petroleum refining, natural gas purification",31.0,11.6
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-06,Waste from inorganic chemical processes,456.0,490.1
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-07,Waste from organic chemical processes,1711.0,1811.1
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",900.0,96.0
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-09,Waste from the photographic industry,36.0,2.1
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-10,Waste from thermal processes,147.0,144.3
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-11,Waste from chemical surface treatment,217.0,47.5
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-12,Waste from mechanical shaping processes,945.0,86.8
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-13,waste oil and liquid fuel waste,1344.0,38.0
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-14,"Waste from organic solvents, coolants",579.0,18.7
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-15,"Packaging waste, absorbent masses, wipes",2670.0,476.9
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-16,Waste not included elsewhere in the inventory,1225.0,137.9
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-17,Construction and demolition waste,1388.0,960.3
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-18,Waste from medical care,125.0,47.2
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-19,Waste from waste treatment plants e.g.,396.0,1139.7
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-20,Municipal waste (household waste and similar waste),2860.0,351.0
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-99,Hazardous waste,,
2010,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",,In total,2963.0,7594.2
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-01,waste from the extraction of mineral resources,41.0,263.6
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-02,"Waste from agriculture, forestry, etc.",49.0,0.5
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-03,"Waste from woodworking, etc.",62.0,7.5
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-04,"Waste from the leather, fur and textile industries",5.0,0.8
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-05,"Waste from petroleum refining, natural gas purification",6.0,1.4
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-06,Waste from inorganic chemical processes,99.0,5.5
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-07,Waste from organic chemical processes,139.0,6.4
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",242.0,15.4
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-09,Waste from the photographic industry,8.0,0.0
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-10,Waste from thermal processes,512.0,985.3
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-11,Waste from chemical surface treatment,43.0,1.3
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-12,Waste from mechanical shaping processes,215.0,12.7
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-13,Oil waste and liquid fuel waste,490.0,16.0
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-14,"Waste from organic solvents, coolants",139.0,0.5
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-15,"Packaging waste, absorbents, wipes",805.0,76.8
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-16,Waste not included elsewhere in the inventory,379.0,33.7
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-17,Construction and demolition waste,614.0,439.0
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-18,Waste from medical care,,
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-19,"Waste from waste treatment plants, etc.",110.0,64.6
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-20,Municipal waste (household waste and similar waste),928.0,95.4
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-99,Hazardous waste,,
2010,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",,In total,956.0,2026.3
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-01,waste from the extraction of mineral resources,4.0,2.2
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-02,"Waste from agriculture, forestry, etc.",104.0,1.8
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-03,"Waste from wood processing, etc.",54.0,3.1
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-04,"Waste from the leather, fur and textile industries",3.0,0.6
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-05,"Waste from petroleum refining, natural gas purification",22.0,4.2
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-06,Waste from inorganic chemical processes,368.0,118.0
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-07,Waste from organic chemical processes,363.0,20.9
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",652.0,14.1
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-09,Waste from the photographic industry,54.0,0.2
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-10,Waste from thermal processes,427.0,6854.7
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-11,Waste from chemical surface treatment,597.0,449.8
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-12,Waste from mechanical shaping processes,1538.0,1775.9
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-13,waste oil and liquid fuel waste,1270.0,66.1
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-14,"Waste from organic solvents, coolants",485.0,7.4
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-15,"Packaging waste, absorbents, wipes",1744.0,243.5
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-16,Waste not included elsewhere in the inventory,878.0,355.4
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-17,construction and demolition waste,1065.0,1180.6
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-18,Waste from medical care,12.0,0.0
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-19,"Waste from waste treatment plants, etc.",332.0,128.4
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-20,Municipal waste (household waste and similar waste),1829.0,230.8
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-99,Hazardous waste,,
2010,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",,In total,1877.0,11457.7
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-01,waste from the extraction of mineral resources,13.0,0.7
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-02,"Waste from agriculture, forestry, etc.",587.0,19.4
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-03,"Waste from wood processing, etc.",133.0,15.1
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-04,"Waste from the leather, fur and textile industries",38.0,18.8
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-05,"Waste from petroleum refining, natural gas purification",21.0,0.4
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-06,Waste from inorganic chemical processes,653.0,44.4
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-07,Waste from organic chemical processes,1248.0,83.4
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",2409.0,80.6
2010,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-09,Waste from the photographic industry,142.0,0.3
