Year,EAV Code,Waste Source,Number Of Asphalt Mixing Plants,Input Of Asphalt Mixing Plants (1000t)
2018,EAV-170507-G,Track ballast containing dangerous substances,,
2018,EAV-19,"Waste from waste treatment plants, etc.",349.0,10635.2
2018,EAV-19120901-U,Products for use in road and road building,,
2018,EAV-19120904-U,Products for use in asphalt mixing plants,349.0,10635.2
2018,EAV-19120905-U,products for other uses,,
2018,EAV-19120906-U,Hot mix for road and path construction,,
2018,EAV-99,Hazardous waste,,
2018,EAV-990000-G,Total hazardous waste,,
2020,EAV-05,"Waste from petroleum refining, natural gas purification",,
2020,EAV-050117-U,Petroleum refining: bitumen,,
2020,EAV-10,Waste from thermal processes,,
2020,EAV-100908-U,Casting molds and sand after casting (without 100907),,
2020,EAV-17,Construction and demolition waste,164.0,4163.9
2020,EAV-170101-U,Concrete,,
2020,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",,
2020,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",,
2020,EAV-170301-G,Bitumen mixtures containing coal tar,,
2020,EAV-170302-U,Bitumen mixtures (without 170301),163.0,4161.0
2020,EAV-170303-G,Coal tar and tarry products,,
2020,EAV-170504-U,Soil and stones (without 170503),,
2020,EAV-170507-G,Track ballast containing dangerous substances,,
2020,EAV-19,Waste from waste treatment plants e.g.,331.0,9951.5
2020,EAV-19120901-U,Products for use in road and road building,,
2020,EAV-19120904-U,products for use in asphalt mixing plants,331.0,9951.5
2020,EAV-19120905-U,products for other uses,,
2020,EAV-19120906-U,Hot mix for road and path construction,,
2020,EAV-99,Hazardous waste,,
2020,EAV-990000-G,Total hazardous waste,,
