Year,EAV Code,Waste Source,Number Of Construction Rubble Processing Plants,Input Of Construction Rubble Processing Plants (1000t),Number Of Construction Rubble Processing Plants With Output,Output Of Construction Rubble Processing Plants (1000t)
2006,EAV-161104-U,Fireproof material made of metallurgical material. percent (oh.161103),8.0,36.7,,
2006,EAV-161106-U,Fireproof material a. non-metallurgical process (oh.161105),6.0,3.3,,
2006,EAV-17,Construction and demolition waste,2034.0,59293.5,80.0,685.8
2006,EAV-170101-U,Concrete,1509.0,21012.5,21.0,217.9
2006,EAV-170102-U,brick,968.0,5792.0,13.0,100.0
2006,EAV-170103-U,tiles and ceramics,466.0,1243.5,4.0,49.1
2006,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",6.0,18.8,,
2006,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",961.0,13828.0,11.0,126.9
2006,EAV-170201-U,Holz,34.0,51.9,10.0,5.6
2006,EAV-170202-U,Glas,11.0,17.7,,
2006,EAV-170203-U,plastic,7.0,2.4,,
2006,EAV-170204-G,"Glass, plastic and wood containing dangerous substances",13.0,7.0,5.0,10.3
2006,EAV-170301-G,Bitumen mixtures containing coal tar,42.0,530.7,4.0,5.2
2006,EAV-170302-U,Bitumen mixtures (without 170301),1008.0,7912.6,7.0,4.2
2006,EAV-170303-G,Coal tar and tarry products,12.0,107.0,8.0,1.0
2006,EAV-170402-U,Aluminium,,,,
2006,EAV-170403-U,Nappy,,,,
2006,EAV-170405-U,iron and Steel,9.0,0.9,8.0,1.0
2006,EAV-170407-U,Mixed metals,4.0,0.5,,
2006,EAV-170411-U,Cable (without 170410),,,,
2006,EAV-170503-G,Soil and stones containing hazardous substances,4.0,16.5,,
2006,EAV-170504-U,soil and stones (without 170503),680.0,7250.4,16.0,100.9
2006,EAV-170506-U,Dredged material (without 170505),4.0,36.5,,
2006,EAV-170507-G,Track ballast containing dangerous substances,8.0,85.4,,
2006,EAV-170508-U,Track ballast (without 170507),49.0,916.8,,
2006,EAV-170601-G,Insulation material containing asbestos,,,,
2006,EAV-170603-G,other insulation material,5.0,0.7,6.0,0.9
2006,EAV-170604-U,Insulating material (without 170601 and 170603),8.0,46.4,4.0,0.4
2006,EAV-170605-G,Building materials containing asbestos,10.0,0.3,10.0,0.4
2006,EAV-170802-U,Gypsum-based building materials (excluding 170801),46.0,17.3,5.0,4.4
2006,EAV-170903-G,Other construction and demolition waste,,,,
2006,EAV-170904-U,Mixed construction and demolition work. (oh.170901-170903),68.0,383.2,34.0,33.1
2006,EAV-19,"Waste from waste treatment plants, etc.",31.0,476.0,2015.0,59601.1
2006,EAV-190111-G,"Combustion, pyrolysis: rust, boiler ash, slag",,,,
2006,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),3.0,94.5,,
2006,EAV-190113-G,"Combustion, pyrolysis: filter dust with dangerous St.",,,,
2006,EAV-190114-U,Filter dust (without 190113),,,,
2006,EAV-190118-U,Pyrolysis waste (without 190117),,,,
2006,EAV-19029950-U,Products resulting from waste treatment,,,7.0,502.0
2006,EAV-190503-U,Out of specification compost,,,,
2006,EAV-190801-U,Sieving and rake residues,,,,
2006,EAV-190802-U,Sand trap residue,,,,
2006,EAV-190903-U,Slurries from decarbonization,,,,
2006,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not different.",,,132.0,12.0
2006,EAV-191202-U,Mechanical waste treatment: ferrous metals,,,711.0,262.9
2006,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,,,110.0,4.4
2006,EAV-191204-U,Mechanical waste treatment: plastic and rubber,,,208.0,18.3
2006,EAV-19120500-U,Mechanical waste treatment: Glass not differentiable,,,4.0,1.2
2006,EAV-19120505-U,Mechanical waste treatment: mixed glass,,,,
2006,EAV-191206-G,Mechanical waste treatment: wood with hazardous substances,,,8.0,0.4
2006,EAV-191207-U,Wood (without 191206),3.0,0.4,368.0,122.8
2006,EAV-191208-U,Mechanical waste treatment: textiles,,,,
2006,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",21.0,295.4,21.0,434.8
2006,EAV-19120901-U,Products for use in road and road building,,,1632.0,36308.6
2006,EAV-19120902-U,Products for use in other earthworks,,,1030.0,14179.2
2006,EAV-19120903-U,products f.d. Use in concrete mixing plants,,,89.0,788.5
2006,EAV-19120904-U,products for use in asphalt mixing plants,,,233.0,4052.3
2006,EAV-19120905-U,products for other uses,,,252.0,2334.9
2006,EAV-19120906-U,Hot mix for road and path construction,,,9.0,51.5
2006,EAV-191210-U,Combustible waste (fuel from waste),,,3.0,0.3
2006,EAV-191211-G,Other waste (including material mixtures),,,6.0,8.4
2006,EAV-191212-U,Other waste (without 191211),6.0,72.9,286.0,509.8
2006,EAV-191302-U,Solid waste from soil remediation (oh.191301),,,,
2006,EAV-20,Municipal waste (household waste and similar waste),26.0,79.5,7.0,10.0
2006,EAV-200101-U,paper and cardboard,,,,
2006,EAV-200102-U,Glas,,,,
2006,EAV-200135-G,"Used electrical devices (oh.200121,200123)",,,,
2006,EAV-200137-G,Wood containing dangerous substances,,,,
2006,EAV-200138-U,Wood (without 200137),3.0,3.2,,
2006,EAV-200140-U,metals,,,,
2006,EAV-200201-U,Biodegradable waste,6.0,3.0,3.0,0.3
2006,EAV-200202-U,Soil and stones,10.0,56.5,,
2006,EAV-200203-U,Other non-biodegradable waste,,,,
2006,EAV-20030100-U,Mixed municipal waste cannot be differentiated,3.0,2.7,,
2006,EAV-20030101-U,"Household waste, commercial waste similar to household waste",,,,
2006,EAV-200303-U,street sweepings,6.0,13.5,,
2006,EAV-200306-U,Waste from sewer cleaning,,,,
2006,EAV-200307-U,Bulky waste,3.0,0.6,,
2006,EAV-200399-U,Municipal waste n.e.c.,,,,
2006,EAV-99,Hazardous waste,80.0,791.9,37.0,26.7
2006,EAV-990000-G,Total hazardous waste,80.0,791.9,37.0,26.7
2008,EAV-01,Waste from the extraction of mineral resources,,,,
2008,EAV-010413-U,Waste from stonemasonry and sawing work (without 010407),,,,
2008,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2008,EAV-020401-U,Sugar production: beet soil,,,,
2008,EAV-03,"Waste from woodworking, etc.",,,,
2008,EAV-030310-U,"Fiber waste, fiber, filler and coating sludge",,,,
2008,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2008,EAV-050117-U,Petroleum refining: bitumen,,,,
2008,EAV-06,Waste from inorganic chemical processes,,,,
2008,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2008,EAV-10,Waste from thermal processes,36.0,258.5,3.0,29.0
2008,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",6.0,48.0,,
2008,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2008,EAV-100201-U,Iron and steel industry: waste from slag processing,,,,
2008,EAV-100202-U,Iron and steel ind.: Unprocessed slag,5.0,19.8,,
2008,EAV-100501-U,"Zinc metallurgy: slag (primary, secondary smelting)",,,,
2008,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2008,EAV-100903-U,"Iron,steel: furnace slag",9.0,85.0,,
2008,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2008,EAV-100908-U,Casting molds and sand after casting (without 100907),3.0,70.0,,
2008,EAV-101008-U,Casting molds and sands after casting (without 101007),,,,
2008,EAV-101112-U,Glass waste (without 101111),,,,
2008,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2008,EAV-101203-U,Ceramic products: particles and dust,,,,
2008,EAV-101208-U,"Waste from ceramic products, bricks, etc.",3.0,0.1,,
2008,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),,,,
2008,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2008,EAV-101311-U,"Waste from composite materials (excluding 101309, 101310)",3.0,2.1,,
2008,EAV-101314-U,Concrete waste and concrete sludge,9.0,4.8,,
2008,EAV-12,Waste from mechanical shaping processes,,,,
2008,EAV-120101-U,Iron filings and turnings,,,,
2008,EAV-120103-U,Non-ferrous metal filings and turnings,,,,
2008,EAV-120105-U,Plastic chips and turnings,,,,
2008,EAV-120117-U,Abrasive waste (without 120116),,,,
2008,EAV-13,Oil waste and liquid fuel waste,,,4.0,0.0
2008,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",,,4.0,0.0
2008,EAV-130208-G,"Other machine, gear and lubricating oils",,,,
2008,EAV-130501-G,Solid waste from grit chambers and oil/water separators,,,,
2008,EAV-15,"Packaging waste, absorbent masses, wipes",6.0,4.0,10.0,1.1
2008,EAV-150101-U,Paper and cardboard packaging,,,,
2008,EAV-150102-U,Plastic packaging,,,,
2008,EAV-150103-U,Wooden packaging,,,,
2008,EAV-15010600-U,Mixed packaging cannot be differentiated,4.0,1.8,3.0,0.3
2008,EAV-150107-U,Glass packaging,,,,
2008,EAV-150202-G,"Absorbent and filter materials, wipes",,,,
2008,EAV-150203-U,Absorption and filter materials (without 150202),,,,
2008,EAV-16,Waste not included elsewhere in the inventory,12.0,27.2,,
2008,EAV-160103-U,scrap tires,,,,
2008,EAV-160119-U,Old vehicles: plastics,,,,
2008,EAV-161104-U,Fireproof material made of metallurgical material. percent (oh.161103),10.0,25.7,,
2008,EAV-161106-U,Refractory material a. non-metallurgical process (oh.161105),4.0,1.5,,
2008,EAV-17,construction and demolition waste,2051.0,63345.7,106.0,1089.1
2008,EAV-170101-U,Concrete,1562.0,21725.5,3.0,64.4
2008,EAV-170102-U,brick,957.0,5682.8,3.0,47.8
2008,EAV-170103-U,tiles and ceramics,473.0,1135.9,,
2008,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",8.0,14.0,,
2008,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",1047.0,15793.0,10.0,81.3
2008,EAV-170201-U,Holz,37.0,37.9,13.0,6.5
2008,EAV-170202-U,Glas,8.0,0.5,,
2008,EAV-170203-U,plastic,,,,
2008,EAV-170204-G,"Glass, plastic and wood with hazardous substances",7.0,19.0,3.0,0.0
2008,EAV-170301-G,Bitumen mixtures containing coal tar,61.0,724.2,39.0,349.2
2008,EAV-170302-U,Bitumen mixtures (without 170301),1059.0,8745.3,7.0,28.5
2008,EAV-170303-G,Coal tar and tarry products,19.0,33.8,8.0,16.6
2008,EAV-170402-U,Aluminium,,,,
2008,EAV-170403-U,Nappy,,,,
2008,EAV-170405-U,iron and Steel,7.0,0.7,9.0,1.9
2008,EAV-170407-U,Mixed metals,,,,
2008,EAV-170411-U,Cable (without 170410),,,,
2008,EAV-170503-G,Soil and stones containing hazardous substances,3.0,68.4,,
2008,EAV-170504-U,soil and stones (without 170503),701.0,7815.4,25.0,447.2
2008,EAV-170506-U,Dredged material (without 170505),5.0,17.0,,
2008,EAV-170507-G,Track ballast containing dangerous substances,6.0,200.4,,
2008,EAV-170508-U,Track ballast (without 170507),53.0,1045.3,,
2008,EAV-170601-G,Insulation material containing asbestos,,,,
2008,EAV-170603-G,other insulation material,,,3.0,0.1
2008,EAV-170604-U,Insulating material (without 170601 and 170603),,,,
2008,EAV-170605-G,Building materials containing asbestos,6.0,0.3,7.0,0.2
2008,EAV-170802-U,Gypsum-based building materials (excluding 170801),62.0,36.1,9.0,8.1
2008,EAV-170903-G,Other construction and demolition waste,,,,
2008,EAV-170904-U,Mixed construction and demolition work. (oh.170901-170903),71.0,235.6,37.0,17.8
2008,EAV-19,"Waste from waste treatment plants, etc.",45.0,323.5,2048.0,62267.9
2008,EAV-190111-G,"Combustion, pyrolysis: grate, boiler ashes, slag",,,,
2008,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),20.0,176.2,,
2008,EAV-190113-G,"Combustion.,Pyrolysis: Filter dust with haz. St.",,,,
2008,EAV-190114-U,Filter dust (without 190113),,,,
2008,EAV-190118-U,Pyrolysis waste (without 190117),,,,
2008,EAV-19029950-U,Products resulting from waste treatment,,,6.0,188.8
2008,EAV-190503-U,Out of specification compost,,,,
2008,EAV-190801-U,Sieving and rake residues,,,,
2008,EAV-190802-U,sand trap residues,,,,
2008,EAV-190903-U,Slurries from decarbonization,,,,
2008,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not different.",,,128.0,5.9
2008,EAV-191202-U,Mechanical waste treatment: ferrous metals,,,774.0,204.8
2008,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,,,144.0,9.3
2008,EAV-191204-U,Mechanical waste treatment: plastic and rubber,,,213.0,13.9
2008,EAV-19120500-U,Mechanical waste treatment: Glass cannot be differentiated,,,,
2008,EAV-19120505-U,Mechanical waste treatment: mixed glass,,,,
2008,EAV-191206-G,Mechanical waste treatment: wood with hazardous substances,,,9.0,39.6
2008,EAV-191207-U,Wood (without 191206),,,403.0,530.5
2008,EAV-191208-U,Mechanical waste treatment: textiles,,,,
2008,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",16.0,86.0,22.0,709.1
2008,EAV-19120901-U,Products for use in road and road building,,,1643.0,37169.4
2008,EAV-19120902-U,Products for use in other earthworks,,,1068.0,14477.2
2008,EAV-19120903-U,products f.d. Use in concrete mixing plants,,,81.0,849.6
2008,EAV-19120904-U,Products for use in asphalt mixing plants,,,280.0,4416.1
2008,EAV-19120905-U,products for other uses,,,244.0,2321.2
2008,EAV-19120906-U,Hot mix for road and path construction,,,,
2008,EAV-191210-U,Combustible waste (fuel from waste),,,,
2008,EAV-191211-G,Other waste (including mixed materials),,,,
2008,EAV-191212-U,Other waste (excluding 191211),8.0,26.5,307.0,1282.9
2008,EAV-191302-U,Solid waste from soil remediation (oh.191301),,,,
2008,EAV-20,Municipal waste (household waste and similar waste),30.0,69.6,9.0,1.3
2008,EAV-200101-U,paper and cardboard,,,,
2008,EAV-200102-U,Glas,,,,
2008,EAV-200135-G,"Used electrical devices (oh.200121,200123)",,,,
2008,EAV-200137-G,Wood containing dangerous substances,,,,
2008,EAV-200138-U,Wood (without 200137),3.0,5.1,,
2008,EAV-200140-U,metals,,,,
2008,EAV-200201-U,Biodegradable waste,12.0,7.7,,
2008,EAV-200202-U,soil and stones,7.0,33.4,,
2008,EAV-200203-U,Other non-biodegradable waste,,,,
2008,EAV-20030100-U,Mixed municipal waste cannot be differentiated,,,,
2008,EAV-20030101-U,"Household waste, commercial waste similar to household waste",,,,
2008,EAV-200303-U,street sweepings,9.0,17.1,,
2008,EAV-200306-U,Waste from sewer cleaning,,,,
2008,EAV-200307-U,Bulky waste,,,,
2008,EAV-200399-U,Municipal waste n.e.c.,,,,
2008,EAV-99,Hazardous waste,89.0,1082.0,63.0,416.3
2008,EAV-990000-G,Total hazardous waste,89.0,1082.0,63.0,416.3
2010,EAV-01,waste from the extraction of mineral resources,,,,
2010,EAV-010413-U,Waste from stonemasonry and sawing work (excluding 010407),,,,
2010,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2010,EAV-020401-U,Sugar production: beet soil,,,,
2010,EAV-03,"Waste from woodworking, etc.",,,,
2010,EAV-030310-U,"Fiber waste, fiber, filler and coating sludges",,,,
2010,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2010,EAV-050117-U,Petroleum refining: bitumen,,,,
2010,EAV-06,Waste from inorganic chemical processes,,,,
2010,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2010,EAV-10,Waste from thermal processes,22.0,184.5,,
2010,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",4.0,35.0,,
2010,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),,,,
2010,EAV-100201-U,Iron and steel industry: waste from slag processing,,,,
2010,EAV-100202-U,Iron and steel ind.: Unprocessed slag,8.0,58.1,,
2010,EAV-100501-U,"Zinc metallurgy: slags (first, second melting)",,,,
2010,EAV-100503-G,Zinc Metallurgy: Filter Dust,,,,
2010,EAV-100903-U,"Iron,steel: furnace slag",7.0,11.5,,
2010,EAV-100906-U,Casting molds and sand before casting (oh.100905),,,,
2010,EAV-100908-U,Casting molds and sand after casting (without 100907),4.0,36.4,,
2010,EAV-101008-U,Casting molds and sands after casting (without 101007),3.0,12.2,,
2010,EAV-101112-U,Glass waste (without 101111),,,,
2010,EAV-101201-U,Ceramic products: raw mixtures before firing,,,,
2010,EAV-101203-U,Ceramic products: particles and dust,,,,
2010,EAV-101208-U,"Waste from ceramic products, bricks, etc.",,,,
2010,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),,,,
2010,EAV-101304-U,"Waste from calcination, hydration from quicklime",,,,
2010,EAV-101311-U,"Waste from composite materials (excluding 101309, 101310)",3.0,4.1,,
2010,EAV-101314-U,Concrete waste and concrete slurry,4.0,3.0,,
2010,EAV-12,Waste from mechanical shaping processes,,,,
2010,EAV-120101-U,Iron filings and turnings,,,,
2010,EAV-120103-U,Non-ferrous metal filings and turnings,,,,
2010,EAV-120105-U,Plastic chips and turnings,,,,
2010,EAV-120117-U,Abrasive waste (without 120116),,,,
2010,EAV-13,waste oil and liquid fuel waste,,,4.0,0.0
2010,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",,,4.0,0.0
2010,EAV-130208-G,"Other machine, gear and lubricating oils",,,,
2010,EAV-130501-G,Solid waste from grit chambers and oil/water separators,,,,
2010,EAV-15,"Packaging waste, absorbent masses, wipes",9.0,3.4,6.0,0.1
2010,EAV-150101-U,Paper and cardboard packaging,,,,
2010,EAV-150102-U,Plastic packaging,,,,
2010,EAV-150103-U,wooden packaging,,,,
2010,EAV-15010600-U,Mixed packaging cannot be differentiated,8.0,3.2,,
2010,EAV-150107-U,Glass packaging,,,,
2010,EAV-150202-G,"Absorbent and filter materials, wipes",,,4.0,0.0
2010,EAV-150203-U,Absorption and filter materials (without 150202),,,,
2010,EAV-16,Waste not included elsewhere in the inventory,3.0,4.9,,
2010,EAV-160103-U,scrap tires,,,,
2010,EAV-160119-U,Old vehicles: plastics,,,,
2010,EAV-161104-U,Refractory mat. from metallurg. percent (oh.161103),,,,
2010,EAV-161106-U,Refractory material a. non-metallurgical process (oh.161105),,,,
2010,EAV-17,construction and demolition waste,2070.0,62089.1,190.0,1564.0
2010,EAV-170101-U,Concrete,1590.0,21955.1,12.0,119.5
2010,EAV-170102-U,brick,992.0,4625.3,8.0,34.4
2010,EAV-170103-U,tiles and ceramics,475.0,941.7,,
2010,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",5.0,14.3,3.0,0.8
2010,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",1077.0,14049.6,13.0,62.7
2010,EAV-170201-U,Holz,46.0,62.9,11.0,5.0
2010,EAV-170202-U,Glas,6.0,0.2,3.0,0.1
2010,EAV-170203-U,plastic,4.0,0.2,,
2010,EAV-170204-G,"Glass, plastic and wood with hazardous substances",13.0,9.8,6.0,0.1
2010,EAV-170301-G,Bitumen mixtures containing coal tar,141.0,1054.8,107.0,691.5
2010,EAV-170302-U,Bitumen mixtures (without 170301),1093.0,9229.7,16.0,34.0
2010,EAV-170303-G,Coal tar and tar-containing products,23.0,2.4,13.0,1.2
2010,EAV-170402-U,Aluminium,,,,
2010,EAV-170403-U,Nappy,,,,
2010,EAV-170405-U,iron and Steel,12.0,5.2,9.0,3.5
2010,EAV-170407-U,mixed metals,5.0,1.7,5.0,1.4
2010,EAV-170411-U,Cable (without 170410),,,,
2010,EAV-170503-G,Soil and stones containing hazardous substances,5.0,13.2,,
2010,EAV-170504-U,Soil and stones (without 170503),792.0,8241.4,32.0,557.2
2010,EAV-170506-U,dredged material (without 170505),8.0,85.2,,
2010,EAV-170507-G,Track ballast containing dangerous substances,7.0,89.7,,
2010,EAV-170508-U,Track ballast (without 170507),67.0,1424.5,3.0,27.0
2010,EAV-170601-G,Insulation material containing asbestos,,,,
2010,EAV-170603-G,other insulation material,12.0,0.1,10.0,0.2
2010,EAV-170604-U,Insulating material (without 170601 and 170603),5.0,0.3,,
2010,EAV-170605-G,Building materials containing asbestos,21.0,1.8,14.0,1.0
2010,EAV-170802-U,Gypsum-based building materials (excluding 170801),70.0,45.7,10.0,0.7
2010,EAV-170903-G,Other construction and demolition waste,,,,
2010,EAV-170904-U,Mixed construction and demolition waste (oh.170901-170903),67.0,233.9,26.0,18.8
2010,EAV-19,"Waste from waste treatment plants, etc.",27.0,140.8,2061.0,58827.5
2010,EAV-190111-G,"Combustion, pyrolysis: rust, boiler ash, slag",,,,
2010,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),,,,
2010,EAV-190113-G,"Combustion.,Pyrolysis: Filter dust with haz. St.",,,,
2010,EAV-190114-U,Filter dust (without 190113),,,,
2010,EAV-190118-U,Pyrolysis waste (without 190117),,,,
2010,EAV-19029950-U,Products resulting from waste treatment,,,12.0,918.1
2010,EAV-190503-U,Out of specification compost,,,,
2010,EAV-190801-U,Sieving and rake residues,,,,
2010,EAV-190802-U,sand trap residues,4.0,1.7,,
2010,EAV-190903-U,Slurries from decarbonization,,,,
2010,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not different.",,,138.0,36.1
2010,EAV-191202-U,Mechanical waste treatment: ferrous metals,,,793.0,198.4
2010,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,,,138.0,5.6
2010,EAV-191204-U,Mechanical waste treatment: plastic and rubber,,,156.0,8.5
2010,EAV-19120500-U,Mechanical waste treatment: Glass not differentiable,,,,
2010,EAV-19120505-U,Mechanical waste treatment: mixed glass,,,,
2010,EAV-191206-G,Mechanical waste treatment: wood with hazardous fabrics,,,15.0,37.7
2010,EAV-191207-U,Wood (without 191206),,,354.0,101.6
2010,EAV-191208-U,Mechanical waste treatment: textiles,,,,
2010,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",15.0,57.4,40.0,106.3
2010,EAV-19120901-U,Products for use in road and road building,,,1655.0,35142.0
2010,EAV-19120902-U,Products for use in other earthworks,,,1145.0,14553.4
2010,EAV-19120903-U,products f.d. Use in concrete mixing plants,,,85.0,480.0
2010,EAV-19120904-U,products for use in asphalt mixing plants,,,275.0,4714.6
2010,EAV-19120905-U,products for other uses,,,257.0,2238.4
2010,EAV-19120906-U,Hot mix for road and path construction,,,,
2010,EAV-191210-U,Combustible waste (fuels from waste),,,3.0,36.2
2010,EAV-191211-G,Other waste (including material mixtures),,,4.0,10.9
2010,EAV-191212-U,Other waste (excluding 191211),7.0,8.3,362.0,236.7
2010,EAV-191302-U,Solid waste from soil remediation (oh.191301),,,,
2010,EAV-20,Municipal waste (household waste and similar waste),43.0,103.1,12.0,37.4
2010,EAV-200101-U,paper and cardboard,3.0,21.1,,
2010,EAV-200102-U,Glas,,,,
2010,EAV-200135-G,"Used electrical devices (oh.200121,200123)",,,,
2010,EAV-200137-G,Wood containing dangerous substances,,,,
2010,EAV-200138-U,Wood (without 200137),,,,
2010,EAV-200140-U,metals,,,,
2010,EAV-200201-U,Biodegradable waste,15.0,37.7,9.0,24.2
2010,EAV-200202-U,soil and stones,10.0,13.8,,
2010,EAV-200203-U,Other non-biodegradable waste,,,,
2010,EAV-20030100-U,Mixed municipal waste cannot be differentiated,6.0,17.5,,
2010,EAV-20030101-U,"Household waste, commercial waste similar to household waste",,,,
2010,EAV-200303-U,street sweepings,18.0,11.6,,
2010,EAV-200306-U,Waste from sewer cleaning,,,,
2010,EAV-200307-U,Bulky waste,3.0,1.2,,
2010,EAV-200399-U,Municipal waste n.e.c.,,,,
2010,EAV-99,Hazardous waste,169.0,1186.7,146.0,748.2
2010,EAV-990000-G,Total hazardous waste,169.0,1186.7,146.0,748.2
2012,EAV-01,waste from the extraction of mineral resources,3.0,1.1,,
2012,EAV-010413-U,Waste from stonemasonry and sawing work (without 010407),3.0,1.1,,
2012,EAV-02,"Waste from agriculture, forestry, etc.",,,,
2012,EAV-020401-U,Sugar production: beet soil,,,,
2012,EAV-03,"Waste from woodworking, etc.",,,,
2012,EAV-030310-U,"Fiber waste, fiber, filler and coating sludge",,,,
2012,EAV-05,"Waste from petroleum refining, natural gas purification",,,,
2012,EAV-050117-U,Petroleum refining: bitumen,,,,
2012,EAV-06,Waste from inorganic chemical processes,,,,
2012,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",,,,
2012,EAV-10,Waste from thermal processes,30.0,160.9,,
2012,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",8.0,24.5,,
