Year,Facility Type,Waste disposal facilities,Input from waste disposal facilities (1000t),Waste produced on-site (1000t),Waste supplied from home (1000t),Waste supplied from abroad (1000t),Waste disposal facilities with output,Output from waste disposal facilities (1000t),Waste for disposal (1000t),Waste for recycling (1000t),Waste all procedures to be prepared (1000t),Handover to others (1000t)
2006,Shredder systems and scrap shears,478.0,9728.2,60.4,9066.3,601.5,,9545.8,375.9,4733.9,,4435.9
2006,Sorting systems,905.0,23212.8,28.0,22878.0,306.8,,23072.7,1539.1,11427.5,,10106.1
2006,Disassembly facilities,312.0,580.6,0.5,548.3,31.8,,552.3,19.5,401.0,,131.7
2006,Other treatment plants,471.0,18196.3,878.6,16429.8,887.9,,16973.4,1167.1,5015.1,,10791.2
2006,Other treatment plants,464.0,17782.7,878.4,16087.5,816.9,,16641.7,1164.0,4974.5,,10503.2
2006,Plants for recycling waste oil,7.0,413.6,0.2,342.3,71.0,,331.7,3.1,40.6,,288.0
2006,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2006,Natural materials in mining,24.0,41953.5,41953.5,,,,,,,,
2006,Waste in underground mining sites,26.0,2473.1,,2152.3,320.8,,,,,,
2006,Waste in surface mining sites,3084.0,87506.6,,86619.6,887.0,,,,,,
2007,landfills,1706.0,43161.2,11361.6,31042.6,756.9,,3847.3,2621.8,599.5,,626.0
2007,Class 0 landfills,1200.0,14478.4,2315.2,12163.2,,,280.4,161.5,21.6,,97.2
2007,Class I landfills,264.0,17456.2,7721.6,9612.9,121.6,,1049.4,663.3,115.3,,270.8
2007,Class II landfills,192.0,7953.5,393.0,7210.5,350.0,,2022.4,1490.5,444.8,,87.2
2007,Class III landfills,40.0,3141.7,931.4,1998.3,212.0,,478.9,306.5,1.6,,170.8
2007,Class IV landfills,5.0,112.9,0.4,39.2,73.3,,,,,,
2007,Long-term storage,5.0,18.5,,18.5,,,16.2,,16.2,,
2007,Thermal waste treatment plants,157.0,22118.4,1719.4,19942.7,456.2,,5977.5,598.9,5200.9,,177.7
2007,Waste incineration plants,91.0,18624.0,381.4,18011.8,230.9,,5325.3,289.4,4865.9,,170.1
2007,Sewage sludge incineration plants,20.0,1888.9,834.0,1026.7,28.2,,269.7,76.1,193.6,,
2007,Hazardous waste incineration plants,32.0,1206.1,490.0,546.2,169.9,,291.4,216.7,74.7,,0.0
2007,Other systems for thermal waste treatment,14.0,399.4,14.0,358.1,27.3,,91.1,16.8,66.7,,7.6
2007,combustion plants,589.0,13607.1,2912.4,9942.7,752.0,,1296.9,239.9,739.0,,318.0
2007,Power plants/thermal power plants,214.0,8236.3,1630.4,6079.7,526.2,,1069.8,189.5,645.3,,235.1
2007,Other combustion systems,375.0,5370.8,1282.0,3863.0,225.8,,227.0,50.4,93.7,,82.9
2007,Alternative fuel power plants,,,,,,,,,,,
2007,Biomass power plants,,,,,,,,,,,
2007,Other power plants,,,,,,,,,,,
2007,Heating plants,,,,,,,,,,,
2007,Equipment for other production purposes,,,,,,,,,,,
2007,Chemical-physical treatment plants,577.0,10434.2,5515.6,4664.0,254.7,,3702.9,805.9,1957.2,,939.7
2007,"Regeneration of acids and bases, solvents",60.0,921.8,767.2,151.4,3.2,,132.0,13.2,59.4,,59.3
2007,"Recovery of metals, solvents, etc.",87.0,727.7,41.1,618.9,67.7,,583.4,24.0,227.1,,332.3
2007,Volume reduction and water separation,157.0,4338.5,2917.0,1417.9,3.6,,1076.5,253.7,809.1,,13.8
2007,Other facilities,273.0,4446.2,1790.2,2475.8,180.2,,1911.1,515.1,861.7,,534.3
2007,Soil treatment plants,120.0,4091.8,1.9,3653.8,436.1,,4058.3,613.5,2934.6,,510.2
2007,Biological treatment plants,1793.0,13233.9,601.2,12428.6,204.2,,9105.2,148.0,938.7,,8018.5
2007,Biowaste composting plants (probably biowaste),316.0,4862.4,27.1,4831.2,4.1,314.0,2626.2,81.4,357.2,,2187.6
2007,Green waste composting plants (mainly green waste),663.0,3079.1,77.2,2987.4,14.5,657.0,2010.4,21.3,211.3,,1777.8
2007,Combined composting and fermentation plants,698.0,3904.9,462.7,3289.1,153.1,697.0,3526.1,39.8,261.4,,3224.8
2007,Sewage sludge composting plants,102.0,1052.7,34.1,987.1,31.4,102.0,757.1,5.0,52.8,,699.3
2007,Other biological treatment facilities,14.0,334.8,,333.7,1.1,14.0,185.3,0.4,56.1,,128.9
2007,Biogas and fermentation plants,,,,,,,,,,,
2007,Mechanical-biological waste treatment plants,50.0,3748.1,29.0,3653.8,65.3,,3097.7,1508.0,1475.1,,114.7
2007,Dismantling companies for end-of-life vehicles,1263.0,454.3,,452.1,2.2,,437.1,2.9,395.4,,38.9
2007,Shredder systems and scrap shears,558.0,13124.9,150.5,12281.8,692.6,,12835.0,390.3,4858.5,,7586.2
2007,Sorting systems,958.0,25325.9,72.3,24838.0,415.6,,24610.0,1615.8,13088.5,,9905.7
2007,Disassembly facilities,301.0,682.7,16.0,618.2,48.5,,667.1,20.7,515.1,,131.3
2007,Other treatment plants,478.0,19431.7,601.2,17531.1,1299.4,,18339.8,1595.2,7055.6,,9689.0
2007,Other treatment plants,471.0,19025.1,601.0,17209.3,1214.9,,17971.3,1592.1,6991.8,,9387.3
2007,Plants for recycling waste oil,7.0,406.6,0.2,321.8,84.5,,368.5,3.1,63.8,,301.7
2007,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2007,Natural materials in mining,22.0,42890.6,42890.6,,,,,,,,
2007,Waste in underground mining sites,25.0,2415.5,,2070.8,344.7,,,,,,
2007,Waste in surface mining sites,2981.0,90842.1,,89681.4,1160.7,,,,,,
2008,landfills,1645.0,41598.6,10435.3,30101.5,1061.7,,3450.2,2674.6,436.8,,338.8
2008,Class 0 landfills,818.0,13373.1,2578.2,10776.2,18.8,,210.6,175.4,3.5,,31.7
2008,Class I landfills,164.0,11028.0,5113.5,5618.8,295.8,,723.8,548.3,56.1,,119.4
2008,Class II landfills,165.0,7205.3,525.7,6330.0,349.6,,2165.3,1770.5,344.8,,50.0
2008,Class III landfills,32.0,2319.2,761.9,1368.3,189.0,,128.6,103.4,10.5,,14.7
2008,Class IV landfills,4.0,111.9,0.1,59.6,52.1,,,,,,
2008,Long-term storage,3.0,,,,,,16.2,,16.2,,
2008,Thermal waste treatment plants,158.0,23116.6,1424.4,20935.2,757.0,,6342.5,635.9,5297.8,,408.8
2008,Waste incineration plants,94.0,20558.4,243.8,19723.7,590.9,,6168.3,298.3,5715.2,,154.8
2008,Sewage sludge incineration plants,21.0,1963.4,898.8,1017.3,47.3,,222.8,23.6,198.5,,0.7
2008,Hazardous waste incineration plants,35.0,1399.2,470.3,667.4,261.5,,320.8,248.5,71.8,,0.5
2008,Other systems for thermal waste treatment,14.0,420.5,21.3,346.7,52.6,,102.5,29.8,62.3,,10.4
2008,combustion plants,632.0,14044.8,3313.4,10079.5,651.8,,1288.2,259.9,797.9,,230.5
2008,Power plants/thermal power plants,338.0,12649.6,2216.9,9724.6,708.1,,2149.3,395.4,1620.1,,133.7
2008,Other combustion systems,317.0,4748.6,1198.9,3442.0,107.7,,141.3,21.2,89.4,,30.8
2008,Alternative fuel power plants,,,,,,,,,,,
2008,Biomass power plants,,,,,,,,,,,
2008,Other power plants,,,,,,,,,,,
2008,Heating plants,,,,,,,,,,,
2008,Equipment for other production purposes,,,,,,,,,,,
2008,Chemical-physical treatment plants,564.0,9198.1,4429.9,4522.1,246.1,,3642.7,772.3,2100.3,,770.1
2008,"Regeneration of acids and bases, solvents",60.0,537.1,312.8,184.1,40.3,,129.8,22.5,54.7,,52.6
2008,"Recovery of metals, solvents, etc.",74.0,507.1,52.4,394.1,60.7,,355.4,29.6,87.4,,238.5
2008,Volume reduction and water separation,160.0,3328.0,2663.3,658.1,6.7,,868.5,173.1,688.5,,7.0
2008,Other facilities,248.0,4593.7,1672.9,2653.6,267.2,,2201.3,413.6,1388.0,,399.7
2008,Soil treatment plants,120.0,4400.2,76.5,3845.6,478.1,,4371.5,572.1,3082.7,,716.8
2008,Biological treatment plants,2041.0,13043.9,822.9,12021.5,199.5,,9129.3,152.4,885.8,,8091.1
2008,Biowaste composting plants (probably biowaste),252.0,4105.8,26.9,4074.5,4.4,,2264.2,79.0,297.7,,1887.4
2008,Green waste composting plants (mainly green waste),672.0,3317.0,136.9,3130.2,49.9,,2205.3,19.6,232.5,,1953.3
2008,Combined composting and fermentation plants,992.0,4307.8,457.0,3723.0,127.8,,3728.3,48.7,152.1,,3527.6
2008,Sewage sludge composting plants,98.0,975.7,41.8,918.8,15.1,,624.3,15.6,42.2,,566.4
2008,Other biological treatment facilities,22.0,301.0,7.9,284.5,8.5,,221.0,61.7,72.9,,86.3
2008,Biogas and fermentation plants,,,,,,,,,,,
2008,Mechanical-biological waste treatment plants,51.0,3957.8,28.0,3846.5,83.3,,3117.0,1313.3,1601.7,,202.0
2008,Dismantling companies for end-of-life vehicles,1249.0,412.8,,410.3,2.5,,391.8,5.6,358.3,,27.9
2008,Shredder systems and scrap shears,595.0,13476.7,124.7,12674.8,677.3,,13659.8,396.2,6005.6,,7258.0
2008,Sorting systems,995.0,25857.8,71.6,25252.5,533.7,,24862.0,1349.9,13834.9,,9677.2
2008,Disassembly facilities,307.0,695.7,16.5,632.7,46.5,,670.2,48.9,519.7,,101.7
2008,Other treatment plants,489.0,18710.1,721.4,16584.0,1404.7,,18233.8,1508.4,7933.3,,8792.1
2008,Other treatment plants,608.0,20840.6,821.2,18707.1,1312.1,,19774.1,1583.7,8959.8,,9230.6
2008,Plants for recycling waste oil,7.0,482.6,0.2,363.8,118.7,,499.0,11.9,18.2,,468.9
2008,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2008,Natural materials in mining,22.0,39294.6,39294.6,,,,,,,,
2008,Waste in underground mining sites,30.0,2622.7,,2227.2,395.5,,,,,,
2008,Waste in surface mining sites,3055.0,86716.4,,85579.7,1136.7,,,,,,
2009,landfills,1553.0,35441.8,8851.9,25676.7,913.2,,4227.1,3522.2,442.3,,262.6
2009,Class 0 landfills,1111.0,13763.0,1942.3,11787.4,33.3,,577.7,446.4,49.2,,82.1
2009,Class I landfills,219.0,13019.9,5999.7,6850.6,169.6,,1433.0,1280.6,51.3,,101.1
2009,Class II landfills,183.0,6301.8,314.6,5667.7,319.6,,1845.6,1634.4,157.8,,53.4
2009,Class III landfills,33.0,2247.9,595.3,1334.8,317.9,,341.0,160.9,154.2,,25.9
2009,Class IV landfills,4.0,107.1,0.1,34.1,72.8,,,,,,
2009,Long-term storage,3.0,2.0,,2.0,,,29.9,0.0,29.9,,0.0
2009,Thermal waste treatment plants,160.0,23512.8,1258.5,21356.8,897.5,,6545.1,771.4,5409.1,,364.7
2009,Waste incineration plants,91.0,19833.3,210.4,19009.9,613.0,,5854.3,412.9,5085.6,,355.7
2009,Sewage sludge incineration plants,20.0,1887.2,623.9,1221.5,41.9,,273.9,83.5,190.4,,
2009,Hazardous waste incineration plants,34.0,1227.0,419.6,606.2,201.3,,299.6,243.5,55.9,,0.2
2009,Other systems for thermal waste treatment,15.0,565.2,4.7,519.3,41.2,,117.4,31.5,77.2,,8.8
2009,combustion plants,633.0,14872.4,2837.9,11265.3,769.3,,1722.7,296.7,1216.7,,209.3
2009,Power plants/thermal power plants,297.0,10668.6,1724.9,8264.7,679.0,,1623.7,274.6,1151.3,,197.7
2009,Other combustion systems,336.0,4203.8,1113.0,3000.5,90.3,,99.0,22.1,65.4,,11.5
2009,Alternative fuel power plants,,,,,,,,,,,
2009,Biomass power plants,,,,,,,,,,,
2009,Other power plants,,,,,,,,,,,
2009,Heating plants,,,,,,,,,,,
2009,Equipment for other production purposes,,,,,,,,,,,
2009,Chemical-physical treatment plants,550.0,8021.6,3904.4,3888.1,229.1,,3532.9,897.1,2020.4,,615.4
2009,"Regeneration of acids and bases, solvents",52.0,384.3,256.6,125.8,1.9,,98.6,10.8,41.6,,46.1
2009,"Recovery of metals, solvents, etc.",75.0,413.0,41.5,313.8,57.7,,317.3,17.0,92.4,,207.8
2009,Volume reduction and water separation,165.0,3238.4,2097.9,1136.0,4.5,,973.3,507.5,457.3,,8.5
2009,Other facilities,258.0,3985.9,1508.4,2312.5,165.0,,2143.8,361.8,1429.0,,353.0
2009,Soil treatment plants,120.0,3518.7,11.7,3387.8,119.2,,3611.3,470.5,2431.9,,708.9
2009,Biological treatment plants,2047.0,13198.1,645.7,12351.4,200.9,,9137.8,184.3,845.5,,8108.0
2009,Biowaste composting plants (probably biowaste),277.0,4671.4,30.6,4631.9,8.8,,2573.5,108.6,360.8,,2104.1
2009,Green waste composting plants (mainly green waste),672.0,3073.6,72.7,2984.1,16.7,,2046.6,16.2,184.0,,1846.4
2009,Combined composting and fermentation plants,987.0,4338.6,503.2,3684.3,151.2,,3759.2,40.4,206.1,,3512.7
2009,Sewage sludge composting plants,93.0,851.9,36.2,803.4,12.3,,555.8,1.5,23.1,,531.2
2009,Other biological treatment facilities,18.0,262.6,3.0,247.6,12.0,,202.7,17.6,71.5,,113.6
2009,Biogas and fermentation plants,,,,,,,,,,,
2009,Mechanical-biological waste treatment plants,55.0,4042.7,24.9,4015.4,2.4,,3295.9,1260.9,1946.6,,88.4
2009,Dismantling companies for end-of-life vehicles,1321.0,1641.0,,1635.9,5.1,,1104.7,5.7,1030.2,,68.8
2009,Shredder systems and scrap shears,609.0,12946.6,115.5,12234.0,597.1,,13007.6,291.7,6177.6,,6538.3
2009,Sorting systems,996.0,24316.6,30.4,23828.5,457.7,,24079.4,1269.3,13049.2,,9761.7
2009,Disassembly facilities,304.0,807.2,0.9,775.4,30.9,,804.1,14.1,658.3,,131.8
2009,Other treatment plants,528.0,18728.4,690.0,16686.9,1351.4,,18000.5,1320.3,8748.8,,7931.4
2009,Other treatment plants,521.0,18288.1,689.8,16355.3,1243.0,,17543.9,1313.7,8719.1,,7511.1
2009,Plants for recycling waste oil,7.0,440.3,0.1,331.7,108.4,,456.6,6.6,29.7,,420.3
2009,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2009,Natural materials in mining,19.0,25963.6,25963.6,,,,,,,,
2009,Waste in underground mining sites,30.0,2522.0,,2105.9,416.2,,,,,,
2009,Waste in surface mining sites,2965.0,85264.6,,83944.5,1320.1,,,,,,
2010,landfills,1186.0,34037.5,8979.4,24152.8,905.2,,3244.5,2597.6,431.0,,215.8
2010,Class 0 landfills,818.0,13373.1,2578.2,10776.2,18.8,,210.6,175.4,3.5,,31.7
2010,Class I landfills,164.0,11028.0,5113.5,5618.8,295.8,,723.8,548.3,56.1,,119.4
2010,Class II landfills,165.0,7205.3,525.7,6330.0,349.6,,2165.3,1770.5,344.8,,50.0
2010,Class III landfills,32.0,2319.2,761.9,1368.3,189.0,,121.7,103.4,10.5,,7.8
2010,Class IV landfills,4.0,111.9,0.1,59.6,52.1,,,,,,
2010,Long-term storage,3.0,,,,,,,,,,
2010,Thermal waste treatment plants,164.0,24341.6,1634.1,21755.1,952.3,,6814.5,600.3,6047.8,,166.4
2010,Waste incineration plants,94.0,20558.4,243.8,19723.7,590.9,,6168.3,298.3,5715.2,,154.8
2010,Sewage sludge incineration plants,21.0,1963.4,898.8,1017.3,47.3,,222.8,23.6,198.5,,0.7
2010,Hazardous waste incineration plants,35.0,1399.2,470.3,667.4,261.5,,320.8,248.5,71.8,,0.5
2010,Other systems for thermal waste treatment,14.0,420.5,21.3,346.7,52.6,,102.5,29.8,62.3,,10.4
2010,combustion plants,655.0,17398.2,3415.8,13166.6,815.8,,2290.7,416.6,1709.5,,164.5
2010,Power plants/thermal power plants,338.0,12649.6,2216.9,9724.6,708.1,,2149.3,395.4,1620.1,,133.7
2010,Other combustion systems,317.0,4748.6,1198.9,3442.0,107.7,,141.3,21.2,89.4,,30.8
2010,Alternative fuel power plants,,,,,,,,,,,
2010,Biomass power plants,,,,,,,,,,,
2010,Other power plants,,,,,,,,,,,
2010,Heating plants,,,,,,,,,,,
2010,Equipment for other production purposes,,,,,,,,,,,
2010,Chemical-physical treatment plants,542.0,8966.0,4701.3,3889.9,374.8,,3555.1,638.7,2218.7,,697.7
2010,"Regeneration of acids and bases, solvents",60.0,537.1,312.8,184.1,40.3,,129.8,22.5,54.7,,52.6
2010,"Recovery of metals, solvents, etc.",74.0,507.1,52.4,394.1,60.7,,355.4,29.6,87.4,,238.5
2010,Volume reduction and water separation,160.0,3328.0,2663.3,658.1,6.7,,868.5,173.1,688.5,,7.0
2010,Other facilities,248.0,4593.7,1672.9,2653.6,267.2,,2201.3,413.6,1388.0,,399.7
2010,Soil treatment plants,122.0,3496.6,14.6,3406.1,75.8,,3611.0,301.7,2687.1,,622.3
2010,Biological treatment plants,2036.0,13007.2,670.5,12131.0,205.7,,9043.0,224.7,797.4,,8021.0
2010,Biowaste composting plants (probably biowaste),252.0,4105.8,26.9,4074.5,4.4,,2264.2,79.0,297.7,,1887.4
2010,Green waste composting plants (mainly green waste),672.0,3317.0,136.9,3130.2,49.9,,2205.3,19.6,232.5,,1953.3
2010,Combined composting and fermentation plants,992.0,4307.8,457.0,3723.0,127.8,,3728.3,48.7,152.1,,3527.6
2010,Sewage sludge composting plants,98.0,975.7,41.8,918.8,15.1,,624.3,15.6,42.2,,566.4
2010,Other biological treatment facilities,22.0,301.0,7.9,284.5,8.5,,221.0,61.7,72.9,,86.3
2010,Biogas and fermentation plants,,,,,,,,,,,
2010,Mechanical-biological waste treatment plants,56.0,4153.8,124.7,4023.7,5.5,,3396.9,1182.7,2128.1,,86.1
2010,Dismantling companies for end-of-life vehicles,1344.0,527.6,,524.5,3.1,,697.3,3.4,649.3,,44.6
2010,Shredder systems and scrap shears,646.0,14255.9,284.9,13119.1,851.9,,14502.3,297.4,6896.5,,7308.4
2010,Sorting systems,1040.0,24058.6,398.3,23195.3,465.1,,23815.2,1125.2,13228.2,,9461.9
2010,Disassembly facilities,322.0,816.7,6.3,797.4,13.0,,780.4,20.7,651.1,,108.5
2010,Other treatment plants,615.0,21323.2,821.4,19070.9,1430.8,,20273.1,1595.6,8978.0,,9699.5
2010,Other treatment plants,608.0,20840.6,821.2,18707.1,1312.1,,19774.1,1583.7,8959.8,,9230.6
2010,Plants for recycling waste oil,7.0,482.6,0.2,363.8,118.7,,499.0,11.9,18.2,,468.9
2010,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2010,Natural materials in mining,20.0,34984.8,34984.8,,,,,,,,
2010,Waste in underground mining sites,30.0,2703.7,,2232.5,471.2,,,,,,
2010,Waste in surface mining sites,2972.0,88551.1,,87228.1,1322.9,,,,,,
2011,landfills,1180.0,36898.7,10978.0,25055.0,865.8,,2974.7,2307.5,436.7,,230.6
2011,Class 0 landfills,818.0,14045.5,3076.6,10968.9,,,156.3,108.8,8.0,,39.6
2011,Class I landfills,166.0,12451.4,6494.1,5716.8,240.5,,780.0,553.7,101.3,,125.0
2011,Class II landfills,158.0,7579.0,577.9,6652.2,348.8,,1849.9,1468.7,325.9,,55.4
2011,Class III landfills,31.0,2651.7,829.1,1605.5,217.1,,183.5,176.4,0.0,,7.1
2011,Class IV landfills,4.0,171.1,0.1,111.6,59.3,,,,,,
2011,Long-term storage,3.0,,,,,,,,,,
2011,Thermal waste treatment plants,167.0,24479.0,1751.8,21788.8,938.4,,6971.5,756.3,6064.0,,151.2
2011,Waste incineration plants,94.0,20187.3,248.8,19336.4,602.1,,6218.4,476.9,5607.4,,134.1
2011,Sewage sludge incineration plants,22.0,2103.6,1021.3,1034.2,48.1,,285.9,64.0,217.3,,4.7
2011,Hazardous waste incineration plants,36.0,1770.8,463.3,1075.8,231.7,,355.8,186.0,168.4,,1.4
2011,Other systems for thermal waste treatment,15.0,417.3,18.4,342.4,56.5,,111.4,29.4,71.0,,11.0
2011,combustion plants,668.0,20276.6,3767.7,15452.3,1056.6,,2795.3,597.8,1947.2,,250.2
2011,Power plants/thermal power plants,,,,,,,,,,,
2011,Other combustion systems,,,,,,,,,,,
2011,Alternative fuel power plants,53.0,5135.9,364.7,4535.5,235.7,,1278.2,285.7,930.5,,62.0
2011,Biomass power plants,124.0,8223.2,2172.8,5455.0,595.4,,937.4,230.4,683.1,,23.9
2011,Other power plants,29.0,2041.1,399.8,1583.2,58.1,,360.8,27.1,195.9,,137.8
2011,Heating plants,371.0,1356.7,714.8,634.3,7.6,,177.3,53.8,118.3,,5.3
2011,Equipment for other production purposes,91.0,3519.7,115.6,3244.3,159.8,,41.6,0.8,19.5,,21.3
2011,Chemical-physical treatment plants,536.0,8828.6,4512.4,3948.3,367.9,,3480.0,892.4,1834.1,,753.5
2011,"Regeneration of acids and bases, solvents",57.0,313.3,175.2,131.0,7.0,,98.4,6.2,49.5,,42.8
2011,"Recovery of metals, solvents, etc.",82.0,537.7,59.2,423.4,55.1,,385.7,24.0,95.6,,266.1
2011,Volume reduction and water separation,158.0,3494.1,2854.7,631.3,8.2,,842.4,373.2,467.7,,1.5
2011,Other facilities,239.0,4483.5,1423.3,2762.6,297.6,,2153.4,489.1,1221.2,,443.1
2011,Soil treatment plants,118.0,3896.3,68.7,3703.8,123.8,,3828.4,465.8,2758.7,,603.9
2011,Biological treatment plants,2029.0,14162.5,1271.6,12739.5,151.3,,10376.3,199.9,1749.0,,8427.4
2011,Biowaste composting plants (probably biowaste),251.0,4235.2,45.7,4188.7,0.8,,2394.9,88.6,320.3,,1986.0
2011,Green waste composting plants (mainly green waste),668.0,3287.3,118.3,3132.0,37.0,,2254.3,16.0,276.1,,1962.2
2011,Combined composting and fermentation plants,984.0,4630.5,456.0,4064.2,110.3,,4094.6,24.3,385.8,,3684.4
2011,Sewage sludge composting plants,106.0,1032.4,6.3,1024.0,2.2,,707.8,9.7,74.5,,623.7
2011,Other biological treatment facilities,20.0,977.1,645.4,330.6,1.0,,924.8,61.3,692.2,,171.2
2011,Biogas and fermentation plants,,,,,,,,,,,
2011,Mechanical-biological waste treatment plants,61.0,4474.1,97.2,4323.2,53.7,,3809.5,1258.2,2403.8,,147.5
2011,Dismantling companies for end-of-life vehicles,1349.0,479.3,,476.7,2.6,,561.1,0.6,525.0,,35.5
2011,Shredder systems and scrap shears,662.0,14581.5,339.4,13357.4,884.8,,14684.6,279.7,7128.5,,7276.4
2011,Sorting systems,1031.0,24623.6,343.9,23771.8,508.0,,24449.3,934.3,14237.7,,9277.3
2011,Disassembly facilities,298.0,818.2,0.8,786.7,30.8,,780.9,19.5,652.4,,109.0
2011,Other treatment plants,616.0,24509.8,2291.8,20604.5,1613.5,,21943.3,1966.4,10331.0,,9645.9
2011,Other treatment plants,609.0,23973.1,2291.7,20197.6,1483.8,,21448.9,1960.6,10309.7,,9178.6
2011,Plants for recycling waste oil,7.0,536.7,0.1,406.9,129.7,,494.4,5.8,21.3,,467.3
2011,Sewage sludge digester with CO fermentation,,,,,,,,,,,
2011,Natural materials in mining,16.0,32615.9,32615.9,,,,,,,,
2011,Waste in underground mining sites,27.0,2744.7,,2313.7,431.0,,,,,,
2011,Waste in surface mining sites,3007.0,91697.5,,90408.4,1289.1,,,,,,
2012,landfills,1146.0,36962.8,10929.2,25288.8,744.8,,2083.0,1598.2,292.4,,192.4
2012,Class 0 landfills,794.0,14439.5,2796.2,11643.3,,,207.5,156.9,33.7,,16.9
2012,Class I landfills,158.0,12705.4,6642.4,5800.3,262.6,,539.4,300.1,119.9,,119.4
2012,Class II landfills,158.0,6879.5,618.3,5947.3,313.8,,1163.0,986.6,138.8,,37.6
2012,Class III landfills,32.0,2768.6,872.2,1780.1,116.3,,173.1,154.6,0.0,,18.5
2012,Class IV landfills,4.0,169.9,0.0,117.8,52.1,,,,,,
2012,Long-term storage,,,,,,,,,,,
2012,Thermal waste treatment plants,170.0,24187.3,1765.4,21421.5,1000.3,,6939.6,751.8,6024.1,,163.7
2012,Waste incineration plants,94.0,20223.6,267.1,19303.0,653.6,,6238.1,386.7,5716.0,,135.4
2012,Sewage sludge incineration plants,22.0,2024.4,992.1,979.3,53.0,,268.2,74.6,181.4,,12.2
2012,Hazardous waste incineration plants,34.0,1317.5,476.6,632.6,208.4,,287.6,231.9,49.6,,6.0
