Year,EAV Code,Waste Type,Waste disposal facilities,Input from waste disposal facilities (1000t),Waste generated in-house (1000t),Waste delivered from within the country (1000t),Waste delivered from abroad (1000t)
2017,EAV-030307-U,Mechanically separated waste (paper waste),103.0,715.9,118.1,566.7,31.2
2017,EAV-030308-U,Waste from sorting v. Paper for recycling,7.0,10.9,0.1,10.9,
2017,EAV-030309-U,Lime sludge waste,8.0,2.6,0.3,2.3,
2017,EAV-030310-U,"Fiber waste, fiber, filler and coating sludge",82.0,1214.0,358.2,854.2,1.6
2017,EAV-030311-U,Sludge a. operational waste water treatment (oh.030310),31.0,114.8,48.8,65.9,
2017,EAV-030399-U,"Paper production, among others: waste not otherwise specified",21.0,734.8,713.3,21.3,0.1
2017,EAV-040101-U,Meat scrapings and hide waste,,,,,
2017,EAV-040102-U,Limed glue leather,,,,,
2017,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,,,,
2017,EAV-040104-U,Chromium-containing tannery broth,,,,,
2017,EAV-040105-U,Chromium-free tannery broth,,,,,
2017,EAV-040106-U,Slurries containing chromium,11.0,99.5,80.0,19.5,
2017,EAV-040107-U,Chromium-free sludges,4.0,4.5,,4.5,
2017,EAV-040108-U,Chromium-containing waste from tanned leather,13.0,6.5,0.5,4.4,1.6
2017,EAV-040109-U,Waste from preparation and finishing,3.0,2.3,,0.3,2.0
2017,EAV-040199-U,Leather and fur industry: waste n.e.c.,6.0,1.1,,0.6,0.6
2017,EAV-040209-U,"Waste from composite materials (elastomer, etc.)",40.0,47.1,,31.2,16.0
2017,EAV-040210-U,Organic substances from natural materials (e.g. fats),4.0,2.7,,2.7,
2017,EAV-040214-G,waste from the finish with organ. solvent,,,,,
2017,EAV-040215-U,Waste from the finish (excluding 040214),10.0,0.6,0.1,0.5,
2017,EAV-040216-G,Dyes and pigments containing dangerous substances,4.0,0.0,,0.0,0.0
2017,EAV-040217-U,Dyes and pigments (without 040216),6.0,0.2,,0.2,
2017,EAV-040219-G,Textile industry: sludge (company wastewater tank),,,,,
2017,EAV-040220-U,Sludge from company-owned Sewage treatment (oh.040219),15.0,1.8,0.3,1.5,
2017,EAV-040221-U,Waste from untreated textile fibers,20.0,14.7,0.9,3.0,10.8
2017,EAV-040222-U,Waste from processed textile fibers,70.0,36.6,0.8,31.7,4.2
2017,EAV-040299-U,Textile industry: waste n.e.c.,4.0,0.1,,0.1,
2017,EAV-050102-G,Petroleum refining: desalination sludges,,,,,
2017,EAV-050103-G,Petroleum refining: bottom sludge from tanks,27.0,13.0,6.0,7.0,0.0
2017,EAV-050104-G,Petroleum refining: Acid alkyl sludges,,,,,
2017,EAV-050105-G,Petroleum Refining: Oil Spills,,,,,
2017,EAV-050106-G,Petroleum refining: oil holding sludge a.,24.0,17.1,1.5,15.4,0.1
2017,EAV-050107-G,Petroleum refining: acid tars,,,,,
2017,EAV-050108-G,Petroleum refining: Other teas,4.0,0.5,,0.5,
2017,EAV-050109-G,Petroleum refining: sludge (company wastewater tank),8.0,8.4,5.1,3.1,0.2
2017,EAV-050110-U,Sludge a. company owned Sewage treatment (oh.050109),,,,,
2017,EAV-050111-G,Petroleum refinery: Waste from fuel purification. with bases,,,,,
2017,EAV-050112-G,Petroleum refining: Acidic oils,,,,,
2017,EAV-050113-U,Petroleum refining: sludges from boiler feed water treatment.,,,,,
2017,EAV-050114-U,Petroleum refining: Waste from cooling towers,,,,,
2017,EAV-050115-G,Petroleum Refining: Used Filter Clays,11.0,0.9,0.1,0.8,
2017,EAV-050116-U,Petroleum refining: sulfur h. Waste from oil desulfurization,7.0,0.5,,0.4,0.1
2017,EAV-050117-U,Petroleum refining: bitumen,6.0,0.2,,0.2,
2017,EAV-050199-U,Petroleum refining: wastes not otherwise specified,,,,,
2017,EAV-050601-G,Coal pyrolysis: acid tars,,,,,
2017,EAV-050603-G,Kohlepyrolyse: Andere Teere,23.0,14.0,9.3,4.7,
2017,EAV-050604-U,Coal pyrolysis: waste from cooling columns,,,,,
2017,EAV-050699-U,Coal pyrolysis: wastes not otherwise specified,3.0,0.2,,0.2,
2017,EAV-050701-G,"Natural gas purification, transport: mercury h. waste",5.0,1.6,,0.5,1.1
2017,EAV-050702-U,"Natural gas purification, transport: waste containing sulfur",6.0,0.2,,0.2,0.0
2017,EAV-050799-U,"Natural gas purification, transport: waste n.e.c.",3.0,0.7,,0.7,
2017,EAV-060101-G,sulfuric acid and sulphurous acid,47.0,214.1,43.2,114.6,56.3
2017,EAV-060102-G,hydrochloric acid,25.0,8.3,0.0,8.3,
2017,EAV-060103-G,Hydrofluoric acid,8.0,2.0,1.9,0.1,
2017,EAV-060104-G,phosphoric acid and phosphorous acid,21.0,1.3,,1.2,0.1
2017,EAV-060105-G,Nitric acid and nitrous acid,27.0,1.2,0.0,1.2,
2017,EAV-060106-G,other acids,55.0,13.6,0.2,13.0,0.3
2017,EAV-060199-U,Acids: wastes n.e.c.,,,,,
2017,EAV-060201-G,Calciumhydroxid,6.0,1.0,0.0,1.0,0.0
2017,EAV-060203-G,Ammoniumhydroxid,19.0,7.8,0.0,7.8,
2017,EAV-060204-G,Sodium and potassium hydroxide,30.0,9.1,0.0,8.8,0.4
2017,EAV-060205-G,Other Bases,58.0,17.0,0.2,12.9,3.9
2017,EAV-060299-U,Bases: wastes n.e.c.,7.0,0.2,,0.2,
2017,EAV-060311-G,Solid salts and solutions containing cyanide,11.0,0.4,0.0,0.4,0.0
2017,EAV-060313-G,Solid salts and solutions containing heavy metals,57.0,16.2,8.7,7.2,0.3
2017,EAV-060314-U,Solid salts and solutions (without 060311 and 060313),72.0,238.4,34.1,197.7,6.5
2017,EAV-060315-G,Metal oxides containing heavy metals,24.0,3.7,0.3,3.2,0.2
2017,EAV-060316-U,Metal oxides (without 060315),40.0,68.7,3.4,65.3,0.0
2017,EAV-060399-U,"Salts, salt solutions, metal oxides: wastes n.e.c.",5.0,0.6,,0.6,
2017,EAV-060403-G,Waste containing arsenic,8.0,1.4,,1.2,0.2
2017,EAV-060404-G,Waste containing mercury,30.0,3.2,0.0,2.3,0.9
2017,EAV-060405-G,Waste containing other heavy metals,36.0,67.4,0.3,66.4,0.7
2017,EAV-060499-U,Waste containing metal n.e.c.,,,,,
2017,EAV-060502-G,Sludge from in-house wastewater treatment,56.0,85.8,1.9,59.3,24.6
2017,EAV-060503-U,Sludge from company-owned Waste water tank (oh.060502),72.0,116.9,15.5,101.4,0.0
2017,EAV-060602-G,Waste containing dangerous sulfides,11.0,0.4,0.0,0.4,0.1
2017,EAV-060603-U,Waste containing sulphides (excluding 060602),,,,,
2017,EAV-060699-U,Chemicals containing sulfur: wastes n.e.c.,,,,,
2017,EAV-060701-G,Waste containing asbestos from electrolysis,,,,,
2017,EAV-060702-G,Activated carbon from chlorine production,4.0,0.2,,0.2,
2017,EAV-060703-G,Barium sulfate sludge containing mercury,,,,,
2017,EAV-060704-G,"Solutions and acids, e.g. contact acid",,,,,
2017,EAV-060799-U,Halogens: wastes n.e.c.,6.0,1.2,0.0,1.2,
2017,EAV-060802-G,Hazardous waste containing chlorosilanes,6.0,12.2,11.3,0.7,0.2
2017,EAV-060899-U,"Silicon, silicon compounds: waste not otherwise specified",28.0,12.8,0.3,12.2,0.4
2017,EAV-060902-U,Phosphorous slag,,,,,
2017,EAV-060903-G,Calcium-based reaction wastes,,,,,
2017,EAV-060904-U,Calcium-based reaction waste (without 060903),,,,,
2017,EAV-060999-U,Chemicals containing phosphorus: wastes n.e.c.,,,,,
2017,EAV-061002-G,Nitrogen.Chemistry.: Waste with hazardous fabrics,4.0,0.1,0.0,0.1,
2017,EAV-061099-U,Nitrogen-containing chemicals: wastes n.e.c.,,,,,
2017,EAV-061101-U,Calcium-based reaction wastes a. titanium dioxide.,6.0,46.9,,46.9,
2017,EAV-061199-U,"Inorganic pigments, colourants: waste not otherwise specified",4.0,23.9,,23.9,
2017,EAV-061301-G,"Inorganic pesticides, wood preservatives",12.0,0.1,0.0,0.1,0.0
2017,EAV-061302-G,Used activated carbon (without 060702),36.0,4.9,1.0,3.3,0.7
2017,EAV-061303-U,Carbon black,16.0,2.0,,1.9,0.1
2017,EAV-061304-G,Waste from asbestos processing,5.0,1.2,,1.2,
2017,EAV-061305-G,Oven and chimney soot,,,,,
2017,EAV-061399-U,Inorganic chemical processes: wastes not otherwise specified,5.0,0.2,0.2,0.0,
2017,EAV-070101-G,"Org.Basic chemistry: Aqueous washing liquid, mother liquors",67.0,167.7,121.6,43.3,2.9
2017,EAV-070103-G,"Organic basic chemistry: halogen organic solvents, washing fl.",42.0,43.9,24.2,18.9,0.8
2017,EAV-070104-G,"Org.Basic chemistry: solvents, washing liquids",84.0,216.6,118.6,95.4,2.7
2017,EAV-070107-G,"Org.basic chemistry: halog.reaction, distillation residue.",27.0,75.4,21.6,41.0,12.8
2017,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,69.0,152.1,53.4,80.7,18.0
2017,EAV-070109-G,"Org.Basic chemistry: Halog.filter cake, absorbent mat.",11.0,0.7,0.0,0.5,0.1
2017,EAV-070110-G,"Org.Grundchemik.: And. filter cake, absorbent mat.",22.0,4.0,0.2,3.7,
2017,EAV-070111-G,Org. basic chemicals: sludge (in-house waste water treatment),23.0,36.3,23.5,3.5,9.3
2017,EAV-070112-U,Sludge from company-owned Sewage treatment (oh.070111),20.0,9.2,0.0,9.2,
2017,EAV-070199-U,Basic organic chemicals: wastes n.e.c.,34.0,24.2,0.2,18.7,5.4
2017,EAV-070201-G,"Plastics: Aqueous washes, mother liquors",45.0,21.3,1.9,19.0,0.4
2017,EAV-070203-G,"Plastics: halogen organic solvents, washing liquid.",30.0,2.9,0.4,2.5,
2017,EAV-070204-G,"Plastics: organ. solvents, washing liquids",61.0,39.5,7.4,30.3,1.7
2017,EAV-070207-G,"Plastics: halogen. Reaction, distillation residues",25.0,5.7,1.5,3.4,0.8
2017,EAV-070208-G,Plastics: reaction and distillation residues,78.0,77.7,25.3,52.0,0.5
2017,EAV-070209-G,"Plastics: halogen. filter cake, absorbent mat.",5.0,0.2,0.0,0.2,
2017,EAV-070210-G,"Plastics: And. Filter cake, absorbent materials",29.0,6.1,1.2,4.9,
2017,EAV-070211-G,Plastics: sludge (in-house waste water treatment),11.0,1.0,0.0,0.9,
2017,EAV-070212-U,Sludge from company-owned Sewage treatment (oh.070211),33.0,18.3,3.4,14.9,
2017,EAV-070213-U,plastic waste,267.0,357.9,5.6,323.5,28.8
2017,EAV-070214-G,Plastics: Waste from additives with dangerous St.,19.0,2.8,0.3,2.5,
2017,EAV-070215-U,Waste additives (excluding 070214),18.0,0.7,0.2,0.5,
2017,EAV-070216-G,Plastics: Dangerous. Waste containing silicones,7.0,0.9,0.6,0.2,
2017,EAV-070217-U,Waste containing silicone (excluding 070216),6.0,0.4,0.1,0.3,
2017,EAV-070299-U,"Plastics, fibers, synthetic rubber: wastes n.e.c.",56.0,43.4,0.4,37.5,5.6
2017,EAV-070301-G,"Organic dyes: aqueous wash liquor, mother liquors",22.0,7.6,1.4,5.9,0.3
2017,EAV-070303-G,"Organic dyes: halogen org. solvent, washbottle",13.0,0.6,0.0,0.6,
2017,EAV-070304-G,"Organic dyes: solvents, washing liquids",46.0,32.0,0.6,29.5,1.8
2017,EAV-070307-G,Organic dyes: halogen. Reaction and distillation reset.,12.0,1.6,0.7,0.9,
2017,EAV-070308-G,Organic dyes: reaction and distillation residues,14.0,5.0,0.0,5.0,
2017,EAV-070309-G,"Organic dyes: halogen. filter cake, absorbent mat.",5.0,0.2,0.1,0.1,
2017,EAV-070310-G,"Organic dyes: Other filter cakes, absorbent mat.",7.0,0.3,0.0,0.3,
2017,EAV-070311-G,Org. dyes: sludge (company waste water tank),,,,,
2017,EAV-070312-U,Sludge from company-owned Waste water tank (oh.070311),3.0,0.1,0.0,0.1,
2017,EAV-070399-U,"Organic dyes, pigments: wastes not otherwise specified",3.0,0.3,,0.3,0.0
2017,EAV-070401-G,"Plant protection products: Aqueous wash liquor, mother liquor.",21.0,29.5,15.5,12.8,1.1
2017,EAV-070403-G,"Pesticides: halogen organic solvents, washing fl.",20.0,83.8,48.4,34.0,1.4
2017,EAV-070404-G,"Plant protection products: Organ. solvent, washbottle",20.0,25.5,12.2,13.2,0.1
2017,EAV-070407-G,Plant protection with: halogen reaction and distillation residue,13.0,38.0,15.9,22.1,
2017,EAV-070408-G,"Plant protection products: reaction, distillation residue.",11.0,6.4,2.8,3.5,0.2
2017,EAV-070409-G,"Plant protection products: halogen filter cake, absorbent mat",6.0,0.2,0.2,0.0,
2017,EAV-070410-G,"Plant protection products: filter cake, absorbent mat.",11.0,0.4,0.1,0.4,0.0
2017,EAV-070411-G,Plant protection agent: sludge (own waste water treatment),8.0,0.3,0.3,0.1,
2017,EAV-070412-U,Sludge from company-owned Waste water tank (oh.070411),,,,,
2017,EAV-070413-G,Plant protection products: Solid waste with hazardous substances,11.0,1.2,0.6,0.3,0.2
2017,EAV-070499-U,"Pesticides, etc.: Waste not otherwise specified",6.0,3.4,0.0,0.2,3.2
2017,EAV-070501-G,"Pharmaceuticals: Aqueous washes, mother liquors",27.0,34.4,10.0,19.8,4.6
2017,EAV-070503-G,"Pharmaceuticals: halogen organic solvents, washing fl.",27.0,34.2,22.4,8.0,3.8
2017,EAV-070504-G,"Pharmaceuticals: organ. solvent, washing liquid",38.0,83.2,18.1,61.4,3.6
2017,EAV-070507-G,"Pharmaceuticals: halogen reaction, distillation residue.",13.0,1.7,0.2,1.3,0.1
2017,EAV-070508-G,Pharmaceuticals: reaction and distillation residues,22.0,5.1,0.0,5.0,0.1
2017,EAV-070509-G,"Pharmaceuticals: Halogen filter cake, absorbent mat.",11.0,0.5,0.3,0.1,0.1
2017,EAV-070510-G,"Pharmaceuticals: filter cake, absorbent materials",15.0,1.9,0.1,1.8,0.0
2017,EAV-070511-G,Pharmaceuticals: sludge (in-house waste water treatment),5.0,0.5,,0.4,0.0
2017,EAV-070512-U,Sludge from company-owned Waste water tank (oh.070511),5.0,0.6,0.0,0.0,0.5
2017,EAV-070513-G,Pharmaceuticals: Solid waste with hazardous fabrics,16.0,2.8,,1.2,1.6
2017,EAV-070514-U,Solid waste (without 070513),33.0,13.8,1.3,12.5,0.0
2017,EAV-070599-U,Pharmaceuticals: wastes n.e.c.,38.0,12.3,0.3,11.7,0.3
2017,EAV-070601-G,"Greases, soaps: aqueous detergents, mother liquors",53.0,24.6,0.1,23.9,0.6
2017,EAV-070603-G,"Fats, soaps: halogen organic solvents, washing fl.",13.0,0.4,0.0,0.4,
2017,EAV-070604-G,"Fats, soaps: organ. solvent, washing liquid",42.0,8.4,1.1,7.2,0.1
2017,EAV-070607-G,"Fats, soaps: Halogen.reaction, distill.residue.",3.0,0.1,,0.1,
2017,EAV-070608-G,"Fats, soaps: reaction and distillation residues",44.0,43.2,1.7,41.5,0.0
2017,EAV-070609-G,"Fats, soaps: halogen filter cake, absorbent mat.",3.0,0.3,,0.3,
2017,EAV-070610-G,"Fats, soaps: filter cakes, absorbent materials",16.0,1.3,0.0,1.3,
2017,EAV-070611-G,"Fats, soaps: sludge (in-house waste water treatment)",5.0,1.5,,1.5,
2017,EAV-070612-U,Sludge from company-owned Waste water tank (oh.070611),21.0,12.1,,12.1,
2017,EAV-070699-U,"Fats, soaps, lubricants, etc.: waste not otherwise specified",64.0,28.2,0.0,27.8,0.4
2017,EAV-070701-G,"Fine chemicals: Aqueous detergents, mother liquors",52.0,75.4,19.6,51.0,4.7
2017,EAV-070703-G,"Fine chemicals: halogen organic solvents, washing fl.",29.0,25.7,11.4,13.9,0.3
2017,EAV-070704-G,"Fine chemicals: organ. solvent, washing liquid",50.0,49.7,9.1,40.2,0.4
2017,EAV-070707-G,"Fine chemicals: halogen reaction, distillation residue.",19.0,15.1,3.6,11.5,0.1
2017,EAV-070708-G,"Fine chemicals: reaction residues, distillation residues.",43.0,110.5,80.2,29.0,1.2
2017,EAV-070709-G,"Fine chemicals: halogen filter cake, absorbent mat.",14.0,0.9,0.3,0.6,
2017,EAV-070710-G,"Fine chemicals: filter cake, absorbent materials",27.0,4.1,0.6,3.6,
2017,EAV-070711-G,Fine chemicals: sludge (own waste water treatment),13.0,2.3,0.4,1.9,
2017,EAV-070712-U,Sludge from company-owned Waste water tank (oh.070711),12.0,1.3,0.2,1.2,
2017,EAV-070799-U,Fine chemicals: wastes n.e.c.,10.0,2.0,0.0,1.9,
2017,EAV-080111-G,Paint and varnish waste with hazardous substances,80.0,48.4,3.3,37.0,8.1
2017,EAV-080112-U,Paint and varnish waste (without 080111),119.0,36.9,0.0,36.5,0.4
2017,EAV-080113-G,Paint and varnish sludges containing dangerous substances,54.0,30.8,7.1,23.4,0.4
2017,EAV-080114-U,Paint and varnish sludge (without 080113),22.0,4.7,,4.7,
2017,EAV-080115-G,"Paints, varnishes: Aqueous sludge with hazardous St.",35.0,18.6,4.3,14.3,
2017,EAV-080116-U,Aqueous sludge (without 080115),71.0,51.7,6.3,45.4,
2017,EAV-080117-G,Waste from paint or varnish removal,55.0,18.7,0.1,18.5,0.1
2017,EAV-080118-U,Waste from paint or varnish removal (without 080117),25.0,2.7,,2.7,
2017,EAV-080119-G,Aqueous suspensions containing paints or varnishes,22.0,17.0,0.0,17.0,
2017,EAV-080120-U,Aqueous suspensions (without 080119),51.0,12.8,0.9,11.8,
2017,EAV-080121-G,Paint or varnish remover waste,8.0,0.4,0.0,0.4,
2017,EAV-080199-U,"Paints, varnishes: waste not otherwise specified",3.0,0.1,,0.1,
2017,EAV-080201-U,Coating powder waste,39.0,2.8,0.0,2.7,0.1
2017,EAV-080202-U,Aqueous sludge containing ceramic materials,19.0,1.5,,1.5,
2017,EAV-080203-U,"Aqueous suspensions,ceram. containing materials",7.0,1.0,,1.0,
2017,EAV-080299-U,Other coatings: wastes not otherwise specified,,,,,
2017,EAV-080307-U,Aqueous sludges containing printing inks,8.0,0.4,,0.4,0.0
2017,EAV-080308-U,"Aqueous liquid waste, i.e. Printing inks included",28.0,8.6,1.1,7.4,0.1
2017,EAV-080312-G,Waste printing ink containing hazardous substances,31.0,3.6,0.3,3.2,0.0
2017,EAV-080313-U,Waste printing ink (without 080312),33.0,2.4,0.0,2.3,
2017,EAV-080314-G,Printing ink sludge containing dangerous substances,19.0,4.1,0.0,4.1,
2017,EAV-080315-U,Printing ink sludge (without 080314),8.0,0.5,,0.5,
2017,EAV-080316-G,Waste from etching solutions,,,,,
2017,EAV-080317-G,Waste toner containing hazardous substances,7.0,0.0,0.0,0.0,
2017,EAV-080318-U,Toner waste (without 080317),47.0,1.9,0.0,1.9,0.0
2017,EAV-080319-G,Dispersion beer,,,,,
2017,EAV-080399-U,Printing inks: waste n.e.c.,,,,,
2017,EAV-080409-G,Adhesive and sealant waste with hazardous St.,55.0,18.4,0.4,15.6,2.4
2017,EAV-080410-U,Adhesive and sealant waste (without 080409),70.0,13.0,0.1,12.8,0.1
2017,EAV-080411-G,Adhesive and sealant containing slurries,,,,,
2017,EAV-080412-U,Adhesive and sealant retention. Sludge(oh.080411),8.0,0.8,,0.8,
2017,EAV-080413-G,"Adhesives, sealants: Aqueous sludges with dangerous substances.",10.0,0.5,0.0,0.4,
2017,EAV-080414-U,Aqueous sludge (without 080413),28.0,5.1,0.1,5.0,
2017,EAV-080415-G,"Adhesive, sealant: Aqueous liquid waste with hazardous st",8.0,0.4,0.1,0.3,
2017,EAV-080416-U,Aqueous liquid waste (excluding 080415),24.0,17.1,12.0,5.1,
2017,EAV-080417-G,"Adhesives, sealants: resin oils",,,,,
2017,EAV-080499-U,"Adhesives, sealants: wastes not otherwise specified",,,,,
2017,EAV-080501-G,isocyanate waste,15.0,1.4,0.1,0.8,0.5
2017,EAV-090101-G,Water-based developers and activator solutions,29.0,2.6,0.0,2.2,0.4
2017,EAV-090102-G,Offset printing plate developer solutions,23.0,5.1,0.0,4.8,0.3
2017,EAV-090103-G,Solvent-based developer solutions,,,,,
2017,EAV-090104-G,fixing baths,27.0,3.0,0.1,2.4,0.5
2017,EAV-090105-G,Bleaching solutions and bleach-fix baths,10.0,1.3,0.0,1.1,0.2
2017,EAV-090106-G,Silver-containing waste from containers photographer. waste,,,,,
2017,EAV-090107-U,Films and photographic papers with silver,11.0,3.0,,2.0,1.0
2017,EAV-090108-U,Films and photographic papers without silver,23.0,3.0,0.0,3.0,
2017,EAV-090110-U,Disposable cameras without batteries,,,,,
2017,EAV-090111-G,Disposable cameras with batteries (160601-160603),,,,,
2017,EAV-090112-U,Disposable cameras with batteries (without 090111),,,,,
2017,EAV-090113-G,Waste from silver recovery (excluding 090106),,,,,
2017,EAV-090199-U,Photographic industry: waste n.e.c.,6.0,0.5,0.0,0.4,0.0
2017,EAV-100101-U,"Rust and Boiler ash, slag, boiler (oh.100104)",241.0,5709.6,4600.8,1102.9,6.0
2017,EAV-100102-U,Filter dust from coal firing,65.0,3090.3,42.0,3047.9,0.5
